//,,,,,,,,,,
//,1,2,3,4,5,6,7,8,9,10
idx,命格名称,对应颜色,对应素材,按下素材,坐标偏移x,电脑端tips,手机端tips,命格界面x,命格权重,对应变量
47,血之狂暴,249,100011,100012,12,{PK值大于5000点时/FCOLOR=255}^{增加：5-5攻魔道/FCOLOR=255}^{PK值大于10000点时/FCOLOR=255}^{增加：10-10攻魔道/FCOLOR=255}^{PK值大于20000点时/FCOLOR=255}^{增加：15-15攻魔道/FCOLOR=255},PK值大于5000点时\增加：5-5攻魔道\PK值大于10000点时\增加：10-10攻魔道\PK值大于20000点时\增加：15-15攻魔道,60,60,T103
48,疾风劲火,249,100011,100012,12,{每提高5%的攻击速度，增/FCOLOR=255}^{加1%烈火剑法伤害/FCOLOR=255},每提高5%的攻击速度，增\加1%烈火剑法伤害,60,25,T103
49,无相神功,249,100011,100012,12,{人物攻击速度+10%/FCOLOR=255}^{人物施法速度+10%/FCOLOR=255},人物攻击速度+10%\人物施法速度+10%,60,25,T103
50,霸权压制,249,100011,100012,12,{攻击其他职业角色时提高/FCOLOR=255}^{10%的伤害/FCOLOR=255},攻击其他职业角色时提高\10%的伤害,60,40,T103
51,藐视神罚,249,100011,100012,12,"{攻击玩家时,降低对方10%/FCOLOR=255}^{HP上限,持续10秒/FCOLOR=255}","攻击玩家时,降低对方10%\HP上限,持续10秒",60,40,T103
52,热血沸腾,249,100011,100012,12,{每次被攻击都会回血1%/FCOLOR=255},每次被攻击都会回血1%,60,35,T103
53,布衣神相,249,100011,100012,12,{穿戴布衣时，暴击伤害将/FCOLOR=255}^{会从150%提高至180%/FCOLOR=255},穿戴布衣时，暴击伤害将\会从150%提高至180%,60,40,T103
54,道法自然,249,100011,100012,12,{每次攻击时，伤害在95%/FCOLOR=255}^{到115%范围内波动/FCOLOR=255},每次攻击时，伤害在95%\到115%范围内波动,60,40,T103
55,毁灭之力,249,100011,100012,12,{自身血量减少10%，获得/FCOLOR=255}^{15-15点攻魔道/FCOLOR=255},自身血量减少10%，获得\15-15点攻魔道,60,40,T103
56,暴走战神,249,100011,100012,12,{每提高4%暴击概率，则提/FCOLOR=255}^{高1%暴击伤害/FCOLOR=255},每提高4%暴击概率，则提\高1%暴击伤害,60,40,T103
57,降神附体,249,100011,100012,12,{血量低于25%时，暴击率/FCOLOR=255}^{增加100%。持续6秒/FCOLOR=255},血量低于25%时，暴击率\增加100%。持续6秒,60,60,T103
58,斗转星移,249,100011,100012,12,{道士召唤宠物时自动与主/FCOLOR=255}^{人签订死亡契约，在主人/FCOLOR=255}^{受到伤害时，宠物会使主/FCOLOR=255}^{人受到伤害的减少10%/FCOLOR=255},道士召唤宠物时自动与主\人签订死亡契约，在主人\受到伤害时，宠物会使主\人受到伤害的减少10%,60,60,T103
59,蓝魔附体,156,100041,100042,12,{每秒回复5点MP/FCOLOR=255},每秒回复5点MP,60,36,T100
60,情比金坚,156,100041,100042,12,{男性玩家达到50级，结婚/FCOLOR=255}^{后男方可增加5-5全属性/FCOLOR=255},男性玩家达到50级，结婚\后男方可增加5-5全属性,60,36,T100
61,红魔附体,156,100041,100042,12,{每秒回复5点HP/FCOLOR=255},每秒回复5点HP,60,36,T100
62,道玄传人,253,100031,100032,12,{攻击时2%概率释放治愈术/FCOLOR=255},攻击时2%概率释放治愈术,60,30,T101
63,天尊传人,253,100031,100032,12,{攻击时有2%概率使目标中/FCOLOR=255}^{红毒(需佩戴黄色药粉)/FCOLOR=255},攻击时有2%概率使目标中\红毒(需佩戴黄色药粉),60,30,T101
64,御灵传人,253,100031,100032,12,{攻击时有2%召唤魔化骷髅/FCOLOR=255}^{(需要佩戴护身符)/FCOLOR=255},攻击时有2%召唤魔化骷髅\(需要佩戴护身符),60,35,T101
65,奋勇向前,70,100021,100022,12,"{等级每低于玩家3级,对你/FCOLOR=255}^{造成的伤害就减少3%/FCOLOR=255}","等级每低于玩家3级,对你\造成的伤害就减少3%",60,40,T102
66,生命之王,70,100021,100022,12,"{每秒回复5点HP和MP,并有/FCOLOR=255}^{3%的概率格挡本次伤害/FCOLOR=255}","每秒回复5点HP和MP,并有\3%的概率格挡本次伤害",60,40,T102
67,巫蛊之术,70,100021,100022,12,{攻击时有1%几率给敌人施/FCOLOR=255}^{加苗疆蛊毒持续10分钟/FCOLOR=255}^{(无法重复施加)/FCOLOR=255},攻击时有1%几率给敌人施\加苗疆蛊毒持续10分钟\(无法重复施加),60,40,T102
68,诅咒之王,70,100021,100022,12,{攻击时3%几率使对方诅咒/FCOLOR=255}^{+3，持续5秒/FCOLOR=255},攻击时3%几率使对方诅咒\+3，持续5秒,60,40,T102
69,霸王之体,70,100021,100022,12,{伤害反弹+5%/FCOLOR=255},伤害反弹+5%,60,40,T102
70,天雷之力,70,100021,100022,12,{攻击3%概率召唤天雷，造/FCOLOR=255}^{成自身攻魔道上限50%真/FCOLOR=255}^{实伤害/FCOLOR=255},攻击3%概率召唤天雷，造\成自身攻魔道上限50%真\实伤害,60,35,T102
71,以彼之道,70,100021,100022,12,{被攻击时，有2%的几率反/FCOLOR=255}^{弹本次30%的伤害/FCOLOR=255},被攻击时，有2%的几率反\弹本次30%的伤害,60,35,T102
76,九鼎之力,249,100011,100012,12,{被人物攻击时5%概率震退/FCOLOR=255}^{对方3格，并恢复自身10%/FCOLOR=255}^{血量/FCOLOR=255},被人物攻击时5%概率震退\对方3格，并恢复自身10%\血量,60,25,T103
73,生命献祭,249,100011,100012,12,{人物每减少8%生命，伤害/FCOLOR=255}^{减免增加3%/FCOLOR=255},人物每减少8%生命，伤害\减免增加3%,60,60,T103
74,神雷天罚,249,100011,100012,12,{攻击3%概率召唤雷电，造/FCOLOR=255}^{成自身攻魔道上限100%真/FCOLOR=255}^{实伤害/FCOLOR=255},攻击3%概率召唤雷电，造\成自身攻魔道上限100%真\实伤害,60,25,T103
75,重燃战火,249,100011,100012,12,"{使用烈火,火符,雷电,灭天/FCOLOR=255}^{火时有5%概率释放两次/FCOLOR=255}","使用烈火,火符,雷电,灭天\火时有5%概率释放两次",60,25,T103
76,破幻苍穹,249,100011,100012,12,{被攻击时5%概率触发神佑/FCOLOR=255}^{生命值上限+50%，持续8/FCOLOR=255}^{秒，冷却60秒/FCOLOR=255},被攻击时5%概率触发神佑\生命值上限+50%，持续8\秒，冷却60秒,60,25,T103
77,人小鬼大,156,100041,100042,12,{攻击等级高于自己的目标/FCOLOR=255}^{伤害增加3%，攻击等级低/FCOLOR=255}^{于自己的玩家伤害减低3%/FCOLOR=255},攻击等级高于自己的目标\伤害增加3%，攻击等级低\于自己的玩家伤害减低3%,60,38,T100
78,祸起萧墙,70,100021,100022,12,{对同职业敌人造成的伤害/FCOLOR=255}^{增加8%。/FCOLOR=255},对同职业敌人造成的伤害\增加8%。,60,35,T102
79,离火燎原,70,100021,100022,12,{火墙技能威力提升20%/FCOLOR=255},火墙技能威力提升20%,60,35,T102
80,御兽天师,249,100011,100012,12,{降低自身攻击、魔法、道/FCOLOR=255}^{术10点，提高宝宝输出伤/FCOLOR=255}^{害20%。/FCOLOR=255},降低自身攻击、魔法、道\术10点，提高宝宝输出伤\害20%。,60,60,T103
81,清风明月,249,100011,100012,12,{攻击敌人时，50%几率降/FCOLOR=255}^{低目标魔法闪避30%，持/FCOLOR=255}^{续5秒。/FCOLOR=255},攻击敌人时，50%几率降\低目标魔法闪避30%，持\续5秒。,60,60,T103
82,天下第一,253,100031,100032,12,{擂台比武天下第一，攻击/FCOLOR=255}^{魔法、道术增加8-8/FCOLOR=255},擂台比武天下第一，攻击\魔法、道术增加8-8,60,25,T101
83,立地成佛,156,100041,100042,12,{每次被击杀，自身PK值都/FCOLOR=255}^{会减少300点。/FCOLOR=255},每次被击杀，自身PK值都\会减少300点。,60,29,T100
84,活跃达人,156,100041,100042,12,{完成任意8条每日任务/FCOLOR=255}^{当天打怪经验+10%/FCOLOR=255},完成任意8条每日任务\当天打怪经验+10%,60,28,T100
85,神秘之姿,156,100041,100042,12,{无论穿戴何种盔甲，都会/FCOLOR=255}^{呈现布衣木剑的外观效果/FCOLOR=255}^{同时增加自身100点生命值/FCOLOR=255}^(小退生效),无论穿戴何种盔甲，都会\呈现布衣木剑的外观效果\同时增加自身100点生命值\(小退生效),60,28,T100
86,杏林圣手,156,100041,100042,12,{在商店批量买药时，可享/FCOLOR=255}^{受7折优惠。/FCOLOR=255},在商店批量买药时，可享\受7折优惠。,60,28,T100
87,逆水行舟,253,100031,100032,12,{所有攻击你的敌人攻速和/FCOLOR=255}^{施法速度降低10%，持续/FCOLOR=255}^{10秒%/FCOLOR=255},所有攻击你的敌人攻速和\施法速度降低10%，持续\10秒,60,25,T101
88,狩猎之心,253,100031,100032,12,{对怪吸血增加5%/FCOLOR=255}^{受怪伤害减少5%/FCOLOR=255},对怪吸血增加5%\受怪伤害减少5%,60,30,T101
89,诅咒护体,253,100031,100032,12,{被敌人杀死后，使敌人的/FCOLOR=255}^{诅咒+3，持续30秒/FCOLOR=255},被敌人杀死后，使敌人的\诅咒+3，持续30秒,60,30,T101
90,强化达人,253,100031,100032,12,{装备强化+7时，强化跳点/FCOLOR=255}^{概率提高20%。/FCOLOR=255},装备强化+7时，强化跳点\概率提高20%。,60,30,T101
91,鸿运当头,253,100031,100032,12,{神龙许愿时有30%几率获/FCOLOR=255}^{得双倍奖励/FCOLOR=255},神龙许愿时有30%几率获\得双倍奖励,60,30,T101
92,八面玲珑,70,100021,100022,12,{闪避+5/FCOLOR=255},闪避+5,60,25,T102
93,百发百中,70,100021,100022,12,{命中+10/FCOLOR=255},命中+10,60,30,T102
94,卓越守护,70,100021,100022,12,{低于自己等级玩家攻击你/FCOLOR=255}^{时受到10%伤害减免/FCOLOR=255},低于自己等级玩家攻击你\时受到10%伤害减免,60,25,T102
95,金砖之力,70,100021,100022,12,{包裹中每有一块金砖，额/FCOLOR=255}^{外造成1%的伤害，最高叠/FCOLOR=255}^{加至5%。/FCOLOR=255},包裹中每有一块金砖，额\外造成1%的伤害，最高叠\加至5%。,60,30,T102
96,阴阳逆转,249,100011,100012,12,{佩戴底功武器时，攻魔道/FCOLOR=255}^{上限的25%将转化为攻魔道/FCOLOR=255}^{下限。/FCOLOR=255},佩戴底功武器时，攻魔道\上限的25%将转化为攻魔道\下限。,60,55,T103
97,魔力穿刺,249,100011,100012,12,{单体攻击对敌人造成自身/FCOLOR=255}^{MP上限2%的额外伤害。/FCOLOR=255},单体攻击对敌人造成自身\MP上限2%的额外伤害。,60,35,T103
98,血债血偿,249,100011,100012,12,{攻击你的敌人，将受到你/FCOLOR=255}^{最大生命值1%的伤害反弹/FCOLOR=255},攻击你的敌人，将受到你\最大生命值1%的伤害反弹,60,25,T103
99,恶魔血脉,249,100011,100012,12,{攻击附带自身生命上限/FCOLOR=255}^{1%的额外真实伤害/FCOLOR=255},攻击附带自身当前最大血\1%的额外真实伤害,60,25,T103
100,铁血守护,249,100011,100012,12,{HP降低10%，抵挡伤害概/FCOLOR=255}^{率提升10%/FCOLOR=255},HP降低10%，抵挡伤害概\率提升10%,60,55,T103
