ver,怪物名称,血量,赏金
112,暗之骷髅统帅,3600,36
113,黄泉教主,20000,200
114,十殿阎罗王,130000,1300
115,牛头魔,720,7
116,牛魔斗士,990,10
117,牛魔战士,900,9
118,牛魔侍卫,900,9
119,牛魔法师,810,8
120,牛魔将军3,990,10
121,牛魔将军,1000,10
122,牛魔祭司,1080,11
123,牛魔王,30000,300
124,暗之牛魔王,210000,2100
125,上古牛魔天神,3500000,35000
126,暴牙蜘蛛,1020,10
127,剧毒蜘蛛,960,10
128,月魔蜘蛛,1380,14
129,花吻蜘蛛,1520,15
130,天狼蜘蛛,1275,13
131,花吻蜘蛛5,1280,13
132,天狼蜘蛛5,855,9
133,血僵尸,2400,24
134,血巨人,2460,25
135,黑锷蜘蛛,2000,20
136,黑锷蜘蛛5,1200,12
137,黑锷蜘蛛3,1200,12
138,血巨人5,2450,25
139,幻影蜘蛛,2450,25
140,血僵尸5,2450,25
141,变异邪恶巨人,6000,60
142,嗜血红蚊,5000,50
143,赤月藤妖,6000,60
144,双头血魔,32000,320
145,双头金刚,32000,320
146,赤月恶魔,34000,340
147,恶魔蛛王,210000,2100
148,万恶之源,210000,2100
149,鬼眼妖蛛,210000,2100
150,魔龙射手,2400,24
151,魔龙血蛙,1800,18
152,魔龙刺蛙,1800,18
153,魔龙邪眼,1000,10
154,魔龙刀兵,3000,30
155,狂化魔龙巨蛾,20000,200
156,狂化魔龙力士,35000,350
157,狂化破甲兵,40000,400
158,狂化魔龙战将,34000,340
159,魔龙万年树妖,280000,2800
160,暗之魔龙教主,240000,2400
161,魔龙教主,210000,2100
162,半兽人7,3000,30
163,半兽勇士7,2500,25
164,骷髅精灵7,2400,24
165,巨型多角虫7,1500,15
166,邪恶毒蛇7,300,3
167,邪恶钳虫7,1200,12
168,尸王7,2800,28
169,沃玛卫士7,1200,12
170,沃玛教主7,100,1
171,白野猪7,1200,12
172,稻草人7,12000,120
173,鹿7,24000,240
174,鸡7,130000,1300
175,热血神鹰,3500000,35000
176,火烈鸟,2000,20
177,通天寺守卫,2000,20
178,守财刀奴,9000,90
179,玄眉道长,20000,200
180,鹿力大仙,5000,50
181,伏地妖僧,3600,36
182,鼓妖僧,4800,48
183,通天祭祀女巫,20000,200
184,通天魔婴,20000,200
185,赤发妖僧,6000,60
186,盗宝贼,800,8
187,通天老祖,200000,2000
188,通天守护者,20000,200
189,通天炎魔,20000,200
190,红衣罗汉,1600,16
191,蓝衣罗汉,1300,13
192,急先锋,300,3
193,引魂人,20000,200
194,黑无常,40000,400
195,白无常,38000,380
196,土傀儡,6000,60
197,石傀儡,7000,70
198,龙卫士(战神),3000,30
199,龙卫士(法神),750,8
200,龙卫士(天尊),1500,15
201,剑圣,100000,1000
202,铁锤巨魔幻影,6000,60
203,通天教主,200000,2000
204,通天降龙圣尊,3500000,35000
205,半兽人统领,3500000,35000
206,逆魔之王,20000,200
207,海妖,2400,24
208,八爪鱼,2700,27
209,海鳄,2500,25
210,幽灵海妖,2800,28
211,幽灵海兽,3500,35
212,铁鳌虾,2100,21
213,幽灵守卫,2150,22
214,鱼妖王,12500,125
215,幽灵战将,18000,180
216,海魔统领,23000,230
217,海魔将军,48000,480
218,深海妖花,2200,22
219,幽灵祭祀,2750,28
220,幽灵战神,48000,480
221,幽灵教主,210000,2100
222,海妖王,350000,3500
223,部落猎手,3800,38
224,迷失矿工,3800,38
225,部落长矛兵,3600,36
226,迷失刀兵,3800,38
227,迷失巡游兵,3800,38
228,巫妖术士,3900,39
229,部落兽厨,2700,27
230,迷失鸟魔,2400,24
231,迷失重锤兵,2000,20
232,部落战神,3000,30
233,部落树妖,2700,27
234,变异长矛巨魔,13000,130
235,古部落将军,49000,490
236,迷失破坏者,55000,550
237,永恒部落兽王,310000,3100
238,守陵奴隶,4400,44
239,王陵护法,4500,45
240,王陵祭祀,5500,55
241,王陵雕像,5500,55
242,王陵卫士,3750,38
243,王陵双刀侍卫,7000,70
244,王陵巨镰将军,4700,47
245,地下巨锤统帅,20000,200
246,死灵近侍,65000,650
247,暗黑亡灵,350000,3500
248,工蚁,7000,70
249,白蚁,6500,65
250,火蚁,6000,60
251,兵蚁,6000,60
252,毒蚁,75000,750
253,蚁后,520000,5200
254,暗影头目,9600,96
255,魔神修罗,12000,120
256,铁翼魔,12000,120
257,突击精骑兵,9500,95
258,天界神射手,8500,85
259,天界枪卒,12000,120
260,重甲护卫,12500,125
261,铁锤悍将,13500,135
262,暗影修罗,9000,90
263,黑袍修罗,22000,220
264,幽灵骑士,80000,800
265,铁血妖后,50000,500
266,幽冥界主,120000,1200
267,阿修罗之王,1000000,10000
268,冰原法师,22000,220
269,冰原狼,30000,300
270,寒冰巨蟒,18000,180
271,冰巨人,24000,240
272,冰甲虫,10000,100
273,冰剑士,20000,200
274,寒冰野人,21000,210
275,雪原弓箭手,18000,180
276,寒冰战灵,35000,350
277,冰霜之女,250000,2500
278,冰原王,2100000,21000
279,冰原魔,1400000,14000
280,美杜莎,840000,8400
281,寒冰雪翼神,1400000,14000
282,上古·冰龙之王,3500000,35000
283,熔岩石魔,34000,340
284,古神骑兵,27000,270
285,熔岩蜘蛛,21000,210
286,炎魔,37000,370
287,领地守卫,36000,360
288,领地守护者,39000,390
289,魔炎护法,60000,600
290,杀戮屠夫,75000,750
291,地狱审判者,360000,3600
292,地狱灰烬者,300000,3000
293,湮灭恶龙,2100000,21000
294,领地魔君,2100000,21000
295,残骸·古神之翼,3500000,35000
296,鸡1,2000,20
297,猪,5000,50
298,龙卫2,1000,10
299,虎卫2,150,2
300,鹰卫2,750,8
301,东胜神州◆持国天王,280000,2800
302,南赡部洲◆增长天王,280000,2800
303,西牛贺洲◆广目天王,280000,2800
304,北俱芦洲◆多闻天王,280000,2800
305,青龙战士,10000,100
306,白虎战士,5000,50
307,金鹏战士,7500,75
308,苍月岛主,280000,2800
309,盟重霸主,280000,2800
310,比奇城主,280000,2800
311,封魔谷主,280000,2800
312,白日门主,300000,3000
313,祖龙神,2100000,21000
314,超级练功师,9999,100
315,宝地牛魔将军,1600,16
316,宝地牛魔法师,900,9
317,宝地迷失刀兵,3800,38
318,宝地石傀儡,7000,70
319,宝地白蚁,6500,65
320,宝地魔神修罗,12000,120
321,宝地邪恶巨人,6000,60
322,宝地长矛巨魔,13000,130
323,宝地巨锤统帅,20000,200
324,宝地死灵近侍,65000,650
325,祖玛教主8,3000,30
326,开门守护者,3000,30
327,休门守护者,5000,50
328,生门守护者,10000,100
329,伤门守护者,20000,200
330,杜门守护者,50000,500
331,景门守护者,60000,600
332,死门守护者,70000,700
333,惊门守护者,100000,1000
334,沃玛战将5,400,4
335,变异牛魔刀客,4500,45
336,变异蓝背刺蛙,6800,68
