//,,,,,
//,,,,,
idx,怪物名字,金攻击,金防御,土攻击,土防御
67,魔龙刀兵,3,0,0,0
68,魔龙万年树妖,50,0,0,0
69,暗之魔龙教主,50,0,0,0
70,魔龙教主,50,0,0,0
71,半兽勇士7,3,0,0,0
72,巨型多角虫7,3,0,0,0
73,邪恶毒蛇7,3,0,0,0
74,邪恶钳虫7,3,0,0,0
75,沃玛卫士7,3,0,0,0
76,沃玛教主7,3,0,0,0
77,白野猪7,3,0,0,0
78,鸡7,50,0,0,0
79,火烈鸟,3,0,0,0
80,通天寺守卫,3,0,0,0
81,鹿力大仙,3,0,0,0
82,伏地妖僧,3,0,0,0
83,鼓妖僧,3,0,0,0
,赤发妖僧,3,0,0,0
,盗宝贼,3,0,0,0
,通天老祖,50,0,0,0
,红衣罗汉,3,0,0,0
,蓝衣罗汉,3,0,0,0
,急先锋,3,0,0,0
,黑无常,0,0,50,0
,白无常,0,0,50,0
,土傀儡,3,0,0,0
,龙卫士(战神),3,0,0,0
,龙卫士(天尊),3,0,0,0
,剑圣,50,0,0,0
,通天教主,50,0,0,0
,海妖,15,0,0,0
,八爪鱼,15,0,0,0
,海鳄,15,0,0,0
,幽灵海妖,15,0,0,0
,幽灵海兽,15,0,0,0
,铁鳌虾,15,0,0,0
,幽灵守卫,15,0,0,0
,鱼妖王,15,0,0,0
,幽灵战将,15,0,0,0
,海魔统领,15,0,0,0
,海魔将军,15,0,0,0
,幽灵祭祀,15,0,0,0
,幽灵战神,15,0,0,0
,幽灵教主,90,0,0,0
,海妖王,90,0,0,0
,部落猎手,25,0,0,0
,迷失矿工,25,0,0,0
,部落长矛兵,25,0,0,0
,迷失刀兵,25,0,0,0
,迷失巡游兵,25,0,0,0
,巫妖术士,25,0,0,0
,部落兽厨,25,0,0,0
,迷失鸟魔,25,0,0,0
,迷失重锤兵,25,0,0,0
,部落战神,25,0,0,0
,部落树妖,25,0,0,0
,变异长矛巨魔,25,0,0,0
,古部落将军,25,0,0,0
,迷失破坏者,25,0,0,0
,永恒部落兽王,100,0,0,0
,守陵奴隶,35,0,0,0
,王陵护法,35,0,0,0
,王陵祭祀,35,0,0,0
,王陵雕像,35,0,0,0
,王陵卫士,35,0,0,0
,王陵双刀侍卫,35,0,0,0
,王陵巨镰将军,35,0,0,0
,地下巨锤统帅,35,0,0,0
,死灵近侍,35,0,0,0
,暗黑亡灵,110,0,0,0
,工蚁,45,0,0,0
,白蚁,45,0,0,0
,火蚁,45,0,0,0
,兵蚁,30,15,0,0
,蚁后,120,0,0,0
,暗影头目,55,0,0,0
,魔神修罗,55,0,0,0
,铁翼魔,55,0,0,0
,突击精骑兵,55,0,0,0
,天界神射手,55,0,0,0
,天界枪卒,55,0,0,0
,重甲护卫,55,0,0,0
,铁锤悍将,55,0,0,0
,暗影修罗,55,0,0,0
,黑袍修罗,55,0,0,0
,幽灵骑士,55,0,0,0
,铁血妖后,55,0,0,0
,幽冥界主,55,0,0,0
,阿修罗之王,130,0,0,0
,冰原法师,65,0,0,0
,冰原狼,65,0,0,0
,寒冰巨蟒,65,0,0,0
,冰巨人,65,0,0,0
,冰甲虫,65,0,0,0
,冰剑士,65,0,0,0
,寒冰野人,65,0,0,0
,雪原弓箭手,65,0,0,0
,寒冰战灵,65,0,0,0
,冰霜之女,65,0,0,0
,冰原王,165,0,0,0
,冰原魔,165,0,0,0
,美杜莎,165,0,0,0
,寒冰雪翼神,165,0,0,0
,上古·冰龙之王,65,0,0,0
,熔岩石魔,75,0,0,0
,古神骑兵,75,0,0,0
,熔岩蜘蛛,75,0,0,0
,炎魔,75,0,0,0
,领地守卫,75,0,0,0
,领地守护者,75,0,0,0
,魔炎护法,75,0,0,0
,杀戮屠夫,75,0,0,0
,地狱审判者,75,0,0,0
,地狱灰烬者,75,0,0,0
,湮灭恶龙,175,0,0,0
,领地魔君,175,0,0,0
,残骸·古神之翼,75,0,0,0
,龙卫2,20,10,0,0
,虎卫2,20,10,0,0
,鹰卫2,20,10,0,0
,青龙战士,25,0,0,0
,白虎战士,25,0,0,0
,金鹏战士,25,0,0,0
,苍月岛主,50,0,0,0
,盟重霸主,50,0,0,0
,比奇城主,50,0,0,0
,封魔谷主,50,0,0,0
,白日门主,50,0,0,0
,测试虎蛇,50,0,0,0
,上古玄武,0,50,0,300
,上古玄武2,0,50,0,300
,上古朱雀,0,50,0,0
,上古朱雀2,0,50,0,0
,上古白虎,0,50,0,300
,上古白虎2,0,50,0,300
,上古青龙,0,50,0,0
,上古青龙2,0,50,0,0
,玄冰麒麟,20,80,0,300
,炽焰麒麟,20,80,0,300
,宝地牛魔将军,3,5,0,0
,宝地牛魔法师,3,9,0,0
,宝地迷失刀兵,25,0,0,0
,宝地白蚁,45,0,0,0
,宝地魔神修罗,55,0,0,0
,宝地长矛巨魔,25,0,0,0
,宝地巨锤统帅,35,0,0,0
,宝地死灵近侍,35,0,0,0
,死门守护者,25,0,0,0
,惊门守护者,50,0,0,0
,月灵1,20,50,0,0
,变异牛魔刀客,3,0,0,0
,变异蓝背刺蛙,3,0,0,0
,圣兽,10,15,0,300
,圣兽1,10,15,0,300
,圣兽王,15,20,0,300
,圣兽王1,15,20,0,300
,变异圣兽王,20,20,0,300
,变异圣兽王1,20,20,0,300
,万兽之王,120,0,0,0
,红蚁,55,0,0,0
,蚁王,120,0,0,0
,石墓尸王,30,0,0,0
,修罗长老,55,0,0,0
,鬼域金刚,85,0,0,0
,地藏猛兽,85,0,0,0
,半月经轮,85,0,0,0
,鬼域将军,85,0,0,0
,蚩尤魔兽,85,0,0,0
,葬神修罗,85,0,0,0
,血色幽灵,85,0,0,0
,魅影之主,85,0,0,0
,幽影树灵,85,0,0,0
,圣地魔王,85,0,0,0
,龙皇主宰,175,0,0,0
,天魔至尊,185,0,0,0
,无极·九天龙皇,185,0,0,0
