11,Warrior,45,1800,U59,361,349,2,<Img|x=420.0|y=375.0|width=50|height=20|scale9r=2|scale9t=2|esc=0|img=private/mp/4005400032.png|scale9b=2|scale9l=2>,<Text|x=427.0|y=375.0|color=255|size=16|text=1800>,<Text|x=420.0|y=348.0|color=11037|size=18|text=武宗·狮子吼>,<Text|x=424.0|y=375.0|color=11025|size=16|text=已精修>
12,Warrior,50,3200,U60,361,414,2,<Img|x=420.0|y=440.0|width=50|height=20|scale9r=2|scale9t=2|esc=0|img=private/mp/4005400032.png|scale9b=2|scale9l=2>,<Text|x=427.0|y=440.0|color=255|size=16|text=3200>,<Text|x=420.0|y=413.0|color=11037|size=18|text=武宗·开天斩>,<Text|x=424.0|y=440.0|color=11025|size=16|text=已精修>
13,Warrior,0,0,U50,361,89,3,<Img|x=420.0|y=115.0|width=50|height=20|scale9r=2|scale9t=2|esc=0|img=private/mp/4005400032.png|scale9b=2|scale9l=2>,<Text|x=440.0|y=115.0|color=255|size=16|text=0>,<Text|x=420.0|y=88.0|color=11037|size=16|text=暴君·嗜血精通>,<Text|x=424.0|y=115.0|color=11025|size=16|text=已精修>
14,Warrior,30,50,U61,361,154,3,<Img|x=420.0|y=180.0|width=50|height=20|scale9r=2|scale9t=2|esc=0|img=private/mp/4005400032.png|scale9b=2|scale9l=2>,<Text|x=436.0|y=180.0|color=255|size=16|text=50>,<Text|x=420.0|y=153.0|color=11037|size=18|text=暴君·攻速精通>,<Text|x=424.0|y=180.0|color=11025|size=16|text=已精修>
15,Warrior,35,150,U62,361,219,3,<Img|x=420.0|y=245.0|width=50|height=20|scale9r=2|scale9t=2|esc=0|img=private/mp/4005400032.png|scale9b=2|scale9l=2>,<Text|x=431.0|y=245.0|color=255|size=16|text=150>,<Text|x=420.0|y=218.0|color=11037|size=18|text=暴君·刺杀强化>,<Text|x=424.0|y=245.0|color=11025|size=16|text=已精修>
16,Warrior,40,700,U63,361,284,3,<Img|x=419.0|y=310.0|width=50|height=20|scale9r=2|scale9t=2|esc=0|img=private/mp/4005400032.png|scale9b=2|scale9l=2>,<Text|x=427.0|y=310.0|color=255|size=16|text=700>,<Text|x=420.0|y=283.0|color=11037|size=18|text=暴君·刺杀剑术>,<Text|x=424.0|y=310.0|color=11025|size=16|text=已精修>
17,Warrior,45,1800,U64,361,349,3,<Img|x=420.0|y=375.0|width=50|height=20|scale9r=2|scale9t=2|esc=0|img=private/mp/4005400032.png|scale9b=2|scale9l=2>,<Text|x=427.0|y=375.0|color=255|size=16|text=1800>,<Text|x=420.0|y=348.0|color=11037|size=18|text=暴君·狂暴>,<Text|x=424.0|y=375.0|color=11025|size=16|text=已精修>
18,Warrior,50,3200,U65,361,414,3,<Img|x=420.0|y=440.0|width=50|height=20|scale9r=2|scale9t=2|esc=0|img=private/mp/4005400032.png|scale9b=2|scale9l=2>,<Text|x=427.0|y=440.0|color=255|size=16|text=3200>,<Text|x=420.0|y=413.0|color=11037|size=18|text=暴君·十步一杀>,<Text|x=424.0|y=440.0|color=11025|size=16|text=已精修>
19,Wizard,0,0,U50,361,89,4,<Img|x=420.0|y=115.0|width=50|height=20|scale9r=2|scale9t=2|esc=0|img=private/mp/4005400032.png|scale9b=2|scale9l=2>,<Text|x=440.0|y=115.0|color=255|size=16|text=0>,<Text|x=420.0|y=88.0|color=11037|size=16|text=魔神·雷系精通>,<Text|x=424.0|y=115.0|color=11025|size=16|text=已精修>
20,Wizard,30,50,U66,361,154,4,<Img|x=420.0|y=180.0|width=50|height=20|scale9r=2|scale9t=2|esc=0|img=private/mp/4005400032.png|scale9b=2|scale9l=2>,<Text|x=436.0|y=180.0|color=255|size=16|text=50>,<Text|x=420.0|y=153.0|color=11037|size=18|text=魔神·感电精通>,<Text|x=424.0|y=180.0|color=11025|size=16|text=已精修>
21,Wizard,35,150,U67,361,219,4,<Img|x=420.0|y=245.0|width=50|height=20|scale9r=2|scale9t=2|esc=0|img=private/mp/4005400032.png|scale9b=2|scale9l=2>,<Text|x=431.0|y=245.0|color=255|size=16|text=150>,<Text|x=420.0|y=218.0|color=11037|size=18|text=魔神·雷电术>,<Text|x=424.0|y=245.0|color=11025|size=16|text=已精修>
22,Wizard,40,700,U68,361,284,4,<Img|x=420.0|y=310.0|width=50|height=20|scale9r=2|scale9t=2|esc=0|img=private/mp/4005400032.png|scale9b=2|scale9l=2>,<Text|x=431.0|y=310.0|color=255|size=16|text=700>,<Text|x=420.0|y=283.0|color=11037|size=18|text=魔神·魔法盾>,<Text|x=424.0|y=310.0|color=11025|size=16|text=已精修>
23,Wizard,45,1800,U69,361,349,4,<Img|x=420.0|y=375.0|width=50|height=20|scale9r=2|scale9t=2|esc=0|img=private/mp/4005400032.png|scale9b=2|scale9l=2>,<Text|x=427.0|y=375.0|color=255|size=16|text=1800>,<Text|x=420.0|y=348.0|color=11037|size=18|text=魔神·狂龙紫电>,<Text|x=424.0|y=375.0|color=11025|size=16|text=已精修>
24,Wizard,50,3200,U70,361,414,4,<Img|x=420.0|y=440.0|width=50|height=20|scale9r=2|scale9t=2|esc=0|img=private/mp/4005400032.png|scale9b=2|scale9l=2>,<Text|x=427.0|y=440.0|color=255|size=16|text=3200>,<Text|x=420.0|y=413.0|color=11037|size=18|text=魔神·群雷域>,<Text|x=424.0|y=440.0|color=11025|size=16|text=已精修>
25,Wizard,0,0,U50,361,89,5,<Img|x=420.0|y=115.0|width=50|height=20|scale9r=2|scale9t=2|esc=0|img=private/mp/4005400032.png|scale9b=2|scale9l=2>,<Text|x=440.0|y=115.0|color=255|size=16|text=0>,<Text|x=420.0|y=88.0|color=11037|size=16|text=赤焰·火系精通>,<Text|x=424.0|y=115.0|color=11025|size=16|text=已精修>
26,Wizard,30,50,U71,361,154,5,<Img|x=420.0|y=180.0|width=50|height=20|scale9r=2|scale9t=2|esc=0|img=private/mp/4005400032.png|scale9b=2|scale9l=2>,<Text|x=436.0|y=180.0|color=255|size=16|text=50>,<Text|x=420.0|y=153.0|color=11037|size=18|text=赤焰·火墙>,<Text|x=424.0|y=180.0|color=11025|size=16|text=已精修>
27,Wizard,35,150,U72,361,219,5,<Img|x=420.0|y=245.0|width=50|height=20|scale9r=2|scale9t=2|esc=0|img=private/mp/4005400032.png|scale9b=2|scale9l=2>,<Text|x=431.0|y=245.0|color=255|size=16|text=150>,<Text|x=420.0|y=218.0|color=11037|size=18|text=赤焰·灭天火>,<Text|x=424.0|y=245.0|color=11025|size=16|text=已精修>
28,Wizard,40,700,U73,361,284,5,<Img|x=420.0|y=310.0|width=50|height=20|scale9r=2|scale9t=2|esc=0|img=private/mp/4005400032.png|scale9b=2|scale9l=2>,<Text|x=431.0|y=310.0|color=255|size=16|text=700>,<Text|x=420.0|y=283.0|color=11037|size=18|text=赤焰·魔法盾>,<Text|x=424.0|y=310.0|color=11025|size=16|text=已精修>
29,Wizard,45,1800,U74,361,349,5,<Img|x=420.0|y=375.0|width=50|height=20|scale9r=2|scale9t=2|esc=0|img=private/mp/4005400032.png|scale9b=2|scale9l=2>,<Text|x=427.0|y=375.0|color=255|size=16|text=1800>,<Text|x=420.0|y=348.0|color=11037|size=18|text=赤焰·神之召唤>,<Text|x=424.0|y=375.0|color=11025|size=16|text=已精修>
30,Wizard,50,3200,U75,361,414,5,<Img|x=420.0|y=440.0|width=50|height=20|scale9r=2|scale9t=2|esc=0|img=private/mp/4005400032.png|scale9b=2|scale9l=2>,<Text|x=427.0|y=440.0|color=255|size=16|text=3200>,<Text|x=420.0|y=413.0|color=11037|size=18|text=赤焰·流星火雨>,<Text|x=424.0|y=440.0|color=11025|size=16|text=已精修>
31,Wizard,0,0,U50,361,89,6,<Img|x=420.0|y=115.0|width=50|height=20|scale9r=2|scale9t=2|esc=0|img=private/mp/4005400032.png|scale9b=2|scale9l=2>,<Text|x=440.0|y=115.0|color=255|size=16|text=0>,<Text|x=420.0|y=88.0|color=11037|size=16|text=冰雪·寒冰血脉>,<Text|x=424.0|y=115.0|color=11025|size=16|text=已精修>
32,Wizard,30,50,U76,361,154,6,<Img|x=420.0|y=180.0|width=50|height=20|scale9r=2|scale9t=2|esc=0|img=private/mp/4005400032.png|scale9b=2|scale9l=2>,<Text|x=436.0|y=180.0|color=255|size=16|text=50>,<Text|x=420.0|y=153.0|color=11037|size=18|text=冰雪·冰霜雷电>,<Text|x=424.0|y=180.0|color=11025|size=16|text=已精修>
33,Wizard,35,150,U77,361,219,6,<Img|x=420.0|y=245.0|width=50|height=20|scale9r=2|scale9t=2|esc=0|img=private/mp/4005400032.png|scale9b=2|scale9l=2>,<Text|x=431.0|y=245.0|color=255|size=16|text=150>,<Text|x=420.0|y=218.0|color=11037|size=18|text=冰雪·冰系精通>,<Text|x=424.0|y=245.0|color=11025|size=16|text=已精修>
34,Wizard,40,700,U78,361,284,6,<Img|x=420.0|y=310.0|width=50|height=20|scale9r=2|scale9t=2|esc=0|img=private/mp/4005400032.png|scale9b=2|scale9l=2>,<Text|x=431.0|y=310.0|color=255|size=16|text=700>,<Text|x=420.0|y=283.0|color=11037|size=18|text=冰雪·玄冰刃>,<Text|x=424.0|y=310.0|color=11025|size=16|text=已精修>
35,Wizard,45,1800,U79,361,349,6,<Img|x=420.0|y=375.0|width=50|height=20|scale9r=2|scale9t=2|esc=0|img=private/mp/4005400032.png|scale9b=2|scale9l=2>,<Text|x=427.0|y=375.0|color=255|size=16|text=1800>,<Text|x=420.0|y=348.0|color=11037|size=18|text=冰雪·冰霜护盾>,<Text|x=424.0|y=375.0|color=11025|size=16|text=已精修>
36,Wizard,50,3200,U80,361,414,6,<Img|x=420.0|y=440.0|width=50|height=20|scale9r=2|scale9t=2|esc=0|img=private/mp/4005400032.png|scale9b=2|scale9l=2>,<Text|x=427.0|y=440.0|color=255|size=16|text=3200>,<Text|x=420.0|y=413.0|color=11037|size=18|text=冰雪·寒冰掌>,<Text|x=424.0|y=440.0|color=11025|size=16|text=已精修>
37,Taoist,0,0,U50,361,89,7,<Img|x=420.0|y=115.0|width=50|height=20|scale9r=2|scale9t=2|esc=0|img=private/mp/4005400032.png|scale9b=2|scale9l=2>,<Text|x=440.0|y=115.0|color=255|size=16|text=0>,<Text|x=420.0|y=88.0|color=11037|size=16|text=天尊·精神战力法>,<Text|x=424.0|y=115.0|color=11025|size=16|text=已精修>
38,Taoist,30,50,U81,361,154,7,<Img|x=420.0|y=180.0|width=50|height=20|scale9r=2|scale9t=2|esc=0|img=private/mp/4005400032.png|scale9b=2|scale9l=2>,<Text|x=436.0|y=180.0|color=255|size=16|text=50>,<Text|x=420.0|y=153.0|color=11037|size=18|text=天尊·群体施毒术>,<Text|x=424.0|y=180.0|color=11025|size=16|text=已精修>
39,Taoist,35,150,U82,361,219,7,<Img|x=420.0|y=245.0|width=50|height=20|scale9r=2|scale9t=2|esc=0|img=private/mp/4005400032.png|scale9b=2|scale9l=2>,<Text|x=431.0|y=245.0|color=255|size=16|text=150>,<Text|x=420.0|y=218.0|color=11037|size=18|text=天尊·灵魂火符>,<Text|x=424.0|y=245.0|color=11025|size=16|text=已精修>
40,Taoist,40,700,U83,361,284,7,<Img|x=420.0|y=310.0|width=50|height=20|scale9r=2|scale9t=2|esc=0|img=private/mp/4005400032.png|scale9b=2|scale9l=2>,<Text|x=431.0|y=310.0|color=255|size=16|text=700>,<Text|x=420.0|y=283.0|color=11037|size=18|text=天尊·元阳道术>,<Text|x=424.0|y=310.0|color=11025|size=16|text=已精修>
41,Taoist,45,1800,U84,361,349,7,<Img|x=420.0|y=375.0|width=50|height=20|scale9r=2|scale9t=2|esc=0|img=private/mp/4005400032.png|scale9b=2|scale9l=2>,<Text|x=427.0|y=375.0|color=255|size=16|text=1800>,<Text|x=420.0|y=348.0|color=11037|size=18|text=天尊·无极真气>,<Text|x=424.0|y=375.0|color=11025|size=16|text=已精修>
42,Taoist,50,3200,U85,361,414,7,<Img|x=420.0|y=440.0|width=50|height=20|scale9r=2|scale9t=2|esc=0|img=private/mp/4005400032.png|scale9b=2|scale9l=2>,<Text|x=427.0|y=440.0|color=255|size=16|text=3200>,<Text|x=420.0|y=413.0|color=11037|size=18|text=天尊·召唤月灵>,<Text|x=424.0|y=440.0|color=11025|size=16|text=已精修>
43,Taoist,0,0,U50,361,89,8,<Img|x=420.0|y=115.0|width=50|height=20|scale9r=2|scale9t=2|esc=0|img=private/mp/4005400032.png|scale9b=2|scale9l=2>,<Text|x=440.0|y=115.0|color=255|size=16|text=0>,<Text|x=420.0|y=88.0|color=11037|size=16|text=道玄·精神战力法>,<Text|x=424.0|y=115.0|color=11025|size=16|text=已精修>
44,Taoist,25,50,U86,361,144,8,<Img|x=420.0|y=170.0|width=50|height=20|scale9r=2|scale9t=2|esc=0|img=private/mp/4005400032.png|scale9b=2|scale9l=2>,<Text|x=436.0|y=170.0|color=255|size=16|text=50>,<Text|x=420.0|y=143.0|color=11037|size=18|text=道玄·治愈术精通>,<Text|x=424.0|y=170.0|color=11025|size=16|text=已精修>
45,Taoist,30,50,U87,361,199,8,<Img|x=420.0|y=225.0|width=50|height=20|scale9r=2|scale9t=2|esc=0|img=private/mp/4005400032.png|scale9b=2|scale9l=2>,<Text|x=436.0|y=225.0|color=255|size=16|text=50>,<Text|x=420.0|y=198.0|color=11037|size=18|text=道玄·施毒术>,<Text|x=424.0|y=225.0|color=11025|size=16|text=已精修>
46,Taoist,35,100,U88,361,254,8,<Img|x=420.0|y=280.0|width=50|height=20|scale9r=2|scale9t=2|esc=0|img=private/mp/4005400032.png|scale9b=2|scale9l=2>,<Text|x=431.0|y=280.0|color=255|size=16|text=100>,<Text|x=420.0|y=253.0|color=11037|size=18|text=道玄·神圣战甲术>,<Text|x=424.0|y=280.0|color=11025|size=16|text=已精修>
47,Taoist,40,1000,U89,361,309,8,<Img|x=420.0|y=335.0|width=50|height=20|scale9r=2|scale9t=2|esc=0|img=private/mp/4005400032.png|scale9b=2|scale9l=2>,<Text|x=427.0|y=335.0|color=255|size=16|text=1000>,<Text|x=420.0|y=308.0|color=11037|size=18|text=道玄·定身术>,<Text|x=424.0|y=335.0|color=11025|size=16|text=已精修>
48,Taoist,45,1500,U90,361,364,8,<Img|x=420.0|y=390.0|width=50|height=20|scale9r=2|scale9t=2|esc=0|img=private/mp/4005400032.png|scale9b=2|scale9l=2>,<Text|x=427.0|y=390.0|color=255|size=16|text=1500>,<Text|x=420.0|y=363.0|color=11037|size=18|text=道玄·移形换影>,<Text|x=424.0|y=390.0|color=11025|size=16|text=已精修>
49,Taoist,50,3200,U91,361,419,8,<Img|x=420.0|y=445.0|width=50|height=20|scale9r=2|scale9t=2|esc=0|img=private/mp/4005400032.png|scale9b=2|scale9l=2>,<Text|x=427.0|y=445.0|color=255|size=16|text=3200>,<Text|x=420.0|y=418.0|color=11037|size=18|text=道玄·召唤麒麟>,<Text|x=424.0|y=445.0|color=11025|size=16|text=已精修>
50,Taoist,0,0,U50,361,89,9,<Img|x=420.0|y=115.0|width=50|height=20|scale9r=2|scale9t=2|esc=0|img=private/mp/4005400032.png|scale9b=2|scale9l=2>,<Text|x=440.0|y=115.0|color=255|size=16|text=0>,<Text|x=420.0|y=88.0|color=11037|size=16|text=御灵·精神战力法>,<Text|x=424.0|y=115.0|color=11025|size=16|text=已精修>
51,Taoist,30,50,U92,361,154,9,<Img|x=420.0|y=180.0|width=50|height=20|scale9r=2|scale9t=2|esc=0|img=private/mp/4005400032.png|scale9b=2|scale9l=2>,<Text|x=436.0|y=180.0|color=255|size=16|text=50>,<Text|x=420.0|y=153.0|color=11037|size=18|text=御灵·神圣战甲术>,<Text|x=424.0|y=180.0|color=11025|size=16|text=已精修>
52,Taoist,35,150,U93,361,219,9,<Img|x=420.0|y=245.0|width=50|height=20|scale9r=2|scale9t=2|esc=0|img=private/mp/4005400032.png|scale9b=2|scale9l=2>,<Text|x=431.0|y=245.0|color=255|size=16|text=150>,<Text|x=420.0|y=218.0|color=11037|size=18|text=御灵·召唤精通>,<Text|x=424.0|y=245.0|color=11025|size=16|text=已精修>
53,Taoist,40,700,U94,361,284,9,<Img|x=420.0|y=310.0|width=50|height=20|scale9r=2|scale9t=2|esc=0|img=private/mp/4005400032.png|scale9b=2|scale9l=2>,<Text|x=431.0|y=310.0|color=255|size=16|text=700>,<Text|x=420.0|y=283.0|color=11037|size=18|text=御灵·兽灵之心>,<Text|x=424.0|y=310.0|color=11025|size=16|text=已精修>
54,Taoist,45,1800,U95,361,349,9,<Img|x=420.0|y=375.0|width=50|height=20|scale9r=2|scale9t=2|esc=0|img=private/mp/4005400032.png|scale9b=2|scale9l=2>,<Text|x=427.0|y=375.0|color=255|size=16|text=1800>,<Text|x=420.0|y=348.0|color=11037|size=18|text=御灵·无极真气>,<Text|x=424.0|y=375.0|color=11025|size=16|text=已精修>
55,Taoist,50,3200,U96,361,414,9,<Img|x=420.0|y=440.0|width=50|height=20|scale9r=2|scale9t=2|esc=0|img=private/mp/4005400032.png|scale9b=2|scale9l=2>,<Text|x=427.0|y=440.0|color=255|size=16|text=3200>,<Text|x=420.0|y=413.0|color=11037|size=18|text=御灵·召唤圣兽>,<Text|x=424.0|y=440.0|color=11025|size=16|text=已精修>
