///key,,,,,,,,,,,,,,,,,,,,,,,,
///Filter,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
IDX,宝宝名字,攻击下限,攻击上限,魔法下限,魔法上限,宝宝血量,防御下限,防御上限,魔御下限,魔御上限,魔法加成,道术加成,攻击下限修正,攻击上限修正,魔法下限修正,魔法下限修正,生命值修正,防御下限修正,防御上限修正,魔御下限修正,魔御上限修正,名字索引,道玄道术加成,御灵道术加成
52,上古玄武13,117,117,117,117,5600,230,230,230,230,0,33,27,21,27,21,3420,0,0,0,0,,38,50
53,上古玄武14,126,126,126,126,7600,230,230,230,230,0,33,36,28,36,28,5360,0,0,0,0,,38,50
54,上古玄武15,135,135,135,135,10000,230,230,230,230,0,33,45,35,45,35,7700,0,0,0,0,,38,50
55,上古玄武16,144,144,144,144,12800,230,230,230,230,0,33,54,42,54,42,10400,0,0,0,0,,38,50
56,上古玄武17,153,153,153,153,16000,230,230,230,230,0,33,63,49,63,49,13580,0,0,0,0,,38,50
57,上古朱雀0,75,75,75,75,1250,135,135,135,135,0,0,0,0,0,0,0,0,0,0,0,,0,0
58,上古朱雀1,83,83,83,83,1750,135,135,135,135,0,33,8,6,8,6,440,0,0,0,0,,38,50
59,上古朱雀2,90,90,90,90,2500,135,135,135,135,0,33,15,11,15,11,1130,0,0,0,0,,38,50
60,上古朱雀3,98,98,98,98,3500,135,135,135,135,0,33,23,17,23,17,2070,0,0,0,0,,38,50
61,上古朱雀4,105,105,105,105,4750,135,135,135,135,0,33,30,22,30,22,3260,0,0,0,0,,38,50
62,上古朱雀5,113,113,113,113,6250,135,135,135,135,0,33,38,28,38,28,4700,0,0,0,0,,38,50
63,上古朱雀6,120,120,120,120,8000,135,135,135,135,0,33,45,33,45,33,6390,0,0,0,0,,38,50
64,上古朱雀7,128,128,128,128,10000,135,135,135,135,0,33,53,39,53,39,8330,0,0,0,0,,38,50
65,上古朱雀10,75,75,75,75,1250,135,135,135,135,0,0,0,0,0,0,0,0,0,0,0,,0,0
66,上古朱雀11,83,83,83,83,1750,135,135,135,135,0,33,8,6,8,6,440,0,0,0,0,,38,50
67,上古朱雀12,90,90,90,90,2500,135,135,135,135,0,33,15,11,15,11,1130,0,0,0,0,,38,50
68,上古朱雀13,98,98,98,98,3500,135,135,135,135,0,33,23,17,23,17,2070,0,0,0,0,,38,50
69,上古朱雀14,105,105,105,105,4750,135,135,135,135,0,33,30,22,30,22,3260,0,0,0,0,,38,50
70,上古朱雀15,113,113,113,113,6250,135,135,135,135,0,33,38,28,38,28,4700,0,0,0,0,,38,50
71,上古朱雀16,120,120,120,120,8000,135,135,135,135,0,33,45,33,45,33,6390,0,0,0,0,,38,50
72,上古朱雀17,128,128,128,128,10000,135,135,135,135,0,33,53,39,53,39,8330,0,0,0,0,,38,50
73,上古白虎0,100,100,100,100,1500,160,160,160,160,0,,0,0,0,0,0,0,0,0,0,,,
74,上古白虎1,110,110,110,110,2100,160,160,160,160,0,33,10,8,10,8,540,0,0,0,0,,38,50
75,上古白虎2,120,120,120,120,3000,160,160,160,160,0,33,20,16,20,16,1380,0,0,0,0,,38,50
76,上古白虎3,130,130,130,130,4200,160,160,160,160,0,33,30,24,30,24,2520,0,0,0,0,,38,50
77,上古白虎4,140,140,140,140,5700,160,160,160,160,0,33,40,32,40,32,3960,0,0,0,0,,38,50
78,上古白虎5,150,150,150,150,7500,160,160,160,160,0,33,50,40,50,40,5700,0,0,0,0,,38,50
79,上古白虎6,160,160,160,160,8100,160,160,160,160,0,33,60,48,60,48,6240,0,0,0,0,,38,50
80,上古白虎7,170,170,170,170,12000,160,160,160,160,0,33,70,56,70,56,10080,0,0,0,0,,38,50
81,上古白虎10,100,100,100,100,1500,160,160,160,160,0,,0,0,0,0,0,0,0,0,0,,,
82,上古白虎11,110,110,110,110,2100,160,160,160,160,0,33,10,8,10,8,540,0,0,0,0,,38,50
83,上古白虎12,120,120,120,120,3000,160,160,160,160,0,33,20,16,20,16,1380,0,0,0,0,,38,50
84,上古白虎13,130,130,130,130,4200,160,160,160,160,0,33,30,24,30,24,2520,0,0,0,0,,38,50
85,上古白虎14,140,140,140,140,5700,160,160,160,160,0,33,40,32,40,32,3960,0,0,0,0,,38,50
86,上古白虎15,150,150,150,150,7500,160,160,160,160,0,33,50,40,50,40,5700,0,0,0,0,,38,50
87,上古白虎16,160,160,160,160,8100,160,160,160,160,0,33,60,48,60,48,6240,0,0,0,0,,38,50
88,上古白虎17,170,170,170,170,12000,160,160,160,160,0,33,70,56,70,56,10080,0,0,0,0,,38,50
89,上古青龙0,125,125,125,125,2250,160,160,160,160,0,0,0,0,0,0,0,0,0,0,0,,0,0
90,上古青龙1,138,138,138,138,3150,160,160,160,160,0,33,13,11,13,11,840,0,0,0,0,,38,50
91,上古青龙2,150,150,150,150,4500,160,160,160,160,0,33,25,21,25,21,2130,0,0,0,0,,38,50
92,上古青龙3,163,163,163,163,6300,160,160,160,160,0,33,38,32,38,32,3870,0,0,0,0,,38,50
93,上古青龙4,175,175,175,175,8550,160,160,160,160,0,33,50,42,50,42,6060,0,0,0,0,,38,50
94,上古青龙5,188,188,188,188,11250,160,160,160,160,0,33,63,53,63,53,8700,0,0,0,0,,38,50
95,上古青龙6,200,200,200,200,14400,160,160,160,160,0,33,75,63,75,63,11790,0,0,0,0,,38,50
96,上古青龙7,213,213,213,213,18000,160,160,160,160,0,33,88,74,88,74,15330,0,0,0,0,,38,50
97,上古青龙10,135,135,135,135,2250,160,160,160,160,0,0,0,0,0,0,0,0,0,0,0,,0,0
98,上古青龙11,149,149,149,149,3150,160,160,160,160,0,33,14,12,14,12,840,0,0,0,0,,38,50
99,上古青龙12,162,162,162,162,4500,160,160,160,160,0,33,27,23,27,23,2130,0,0,0,0,,38,50
100,上古青龙13,176,176,176,176,6300,160,160,160,160,0,33,41,35,41,35,3870,0,0,0,0,,38,50
101,上古青龙14,189,189,189,189,8550,160,160,160,160,0,33,54,46,54,46,6060,0,0,0,0,,38,50
102,上古青龙15,203,203,203,203,11250,160,160,160,160,0,33,68,58,68,58,8700,0,0,0,0,,38,50
103,上古青龙16,216,216,216,216,14400,160,160,160,160,0,33,81,69,81,69,11790,0,0,0,0,,38,50
104,上古青龙17,230,230,230,230,18000,160,160,160,160,0,33,95,81,95,81,15330,0,0,0,0,,38,50
105,虎卫20,35,49,0,0,150,40,40,10,10,0,0,0,0,0,0,0,0,0,0,0,,0,0
106,虎卫21,36,52,0,0,210,40,40,10,10,0,0,1,2,0,0,0,0,0,0,0,,0,0
107,虎卫22,38,55,0,0,300,40,40,10,10,0,0,3,3,0,0,0,0,0,0,0,,0,0
108,虎卫23,39,58,0,0,420,40,40,10,10,0,0,4,4,0,0,0,0,0,0,0,,0,0
109,虎卫24,41,61,0,0,570,40,40,10,10,0,0,6,4,0,0,0,0,0,0,0,,0,0
110,虎卫25,43,64,0,0,750,40,40,10,10,0,0,8,3,0,0,0,0,0,0,0,,0,0
111,虎卫26,45,67,0,0,960,40,40,10,10,0,0,10,2,0,0,0,0,0,0,0,,0,0
112,虎卫27,47,70,0,0,1200,40,40,10,10,0,0,12,0,0,0,0,0,0,0,0,,0,0
113,多角虫0,7,8,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
114,多角虫1,7,8,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
115,多角虫2,8,9,0,0,59,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,0,0
116,多角虫3,8,9,0,0,63,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,0,0
117,多角虫4,8,10,0,0,67,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,,0,0
118,多角虫5,9,10,0,0,70,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,,0,0
119,多角虫6,9,10,0,0,74,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,,0,0
120,多角虫7,10,11,0,0,77,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,,0,0
121,龙卫20,42,42,0,0,1000,40,40,10,10,0,0,0,0,0,0,0,0,0,0,0,,0,0
122,龙卫21,44,44,0,0,1070,40,40,10,10,0,0,2,0,0,0,10,0,0,0,0,,0,0
123,龙卫22,46,46,0,0,1140,40,40,10,10,0,0,4,0,0,0,20,0,0,0,0,,0,0
124,龙卫23,48,48,0,0,1210,40,40,10,10,0,0,6,0,0,0,30,0,0,0,0,,0,0
125,龙卫24,50,50,0,0,1280,40,40,10,10,0,0,8,0,0,0,40,0,0,0,0,,0,0
126,龙卫25,53,53,0,0,1350,40,40,10,10,0,0,11,1,0,0,50,0,0,0,0,,0,0
127,龙卫26,55,55,0,0,1420,40,40,10,10,0,0,13,1,0,0,60,0,0,0,0,,0,0
128,龙卫27,59,59,0,0,1490,40,40,10,10,0,0,17,3,0,0,70,0,0,0,0,,0,0
129,鹰卫20,33,33,0,0,750,35,35,35,35,0,0,0,0,0,0,0,0,0,0,0,,0,0
130,鹰卫21,35,35,0,0,803,35,35,35,35,0,0,2,0,0,0,0,0,0,0,0,,0,0
131,鹰卫22,36,36,0,0,855,35,35,35,35,0,0,3,0,0,0,0,0,0,0,0,,0,0
132,鹰卫23,38,38,0,0,908,35,35,35,35,0,0,5,0,0,0,0,0,0,0,0,,0,0
133,鹰卫24,40,40,0,0,960,35,35,35,35,0,0,7,0,0,0,0,0,0,0,0,,0,0
134,鹰卫25,41,41,0,0,1013,35,35,35,35,0,0,8,0,0,0,0,0,0,0,0,,0,0
135,鹰卫26,43,43,0,0,1065,35,35,35,35,0,0,10,0,0,0,0,0,0,0,0,,0,0
136,鹰卫27,46,46,0,0,1118,35,35,35,35,0,0,13,0,0,0,0,0,0,0,0,,0,0
137,巨型多角虫0,7,15,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
138,巨型多角虫1,7,16,0,0,268,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0
139,巨型多角虫2,8,17,0,0,285,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,,0,0
140,巨型多角虫3,8,17,0,0,303,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,,0,0
141,巨型多角虫4,8,18,0,0,320,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,,0,0
142,巨型多角虫5,9,19,0,0,338,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,,0,0
143,巨型多角虫6,9,20,0,0,355,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,,0,0
144,巨型多角虫7,10,21,0,0,373,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,,0,0
145,巨型多角虫70,50,100,0,0,1500,10,10,65,65,0,0,0,0,0,0,0,0,0,0,0,,0,0
146,巨型多角虫71,53,105,0,0,1605,10,10,65,65,0,0,3,3,0,0,45,0,0,0,0,,0,0
147,巨型多角虫72,55,110,0,0,1710,10,10,65,65,0,0,5,6,0,0,90,0,0,0,0,,0,0
148,巨型多角虫73,58,115,0,0,1815,10,10,65,65,0,0,8,9,0,0,135,0,0,0,0,,0,0
149,巨型多角虫74,60,120,0,0,1920,10,10,65,65,0,0,10,12,0,0,180,0,0,0,0,,0,0
150,巨型多角虫75,63,125,0,0,2025,10,10,65,65,0,0,13,15,0,0,225,0,0,0,0,,0,0
151,巨型多角虫76,65,130,0,0,2130,10,10,65,65,0,0,15,18,0,0,270,0,0,0,0,,0,0
152,巨型多角虫77,70,140,0,0,2235,10,10,65,65,0,0,20,26,0,0,315,0,0,0,0,,0,0
153,牛魔侍卫0,42,48,0,0,1125,43,43,0,0,0,0,0,0,0,0,225,21,21,0,0,,0,0
154,牛魔侍卫1,44,50,0,0,1204,43,43,0,0,0,0,2,0,0,0,244,21,21,0,0,,0,0
155,牛魔侍卫2,46,53,0,0,1283,43,43,0,0,0,0,4,1,0,0,263,21,21,0,0,,0,0
156,牛魔侍卫3,48,55,0,0,1361,43,43,0,0,0,0,6,1,0,0,281,21,21,0,0,,0,0
157,牛魔侍卫4,50,58,0,0,1440,43,43,0,0,0,0,8,2,0,0,300,21,21,0,0,,0,0
158,牛魔侍卫5,53,60,0,0,1519,43,43,0,0,0,0,11,2,0,0,319,21,21,0,0,,0,0
159,牛魔侍卫6,55,62,0,0,1598,43,43,0,0,0,0,13,2,0,0,338,21,21,0,0,,0,0
160,牛魔侍卫7,59,67,0,0,1676,43,43,0,0,0,0,17,5,0,0,356,21,21,0,0,,0,0
161,牛魔法师0,48,48,48,48,810,59,59,15,15,0,0,0,0,0,0,0,30,30,0,0,,0,0
162,牛魔法师1,50,50,50,50,870,59,59,15,15,0,0,2,0,2,2,0,30,30,0,0,,0,0
163,牛魔法师2,53,53,53,53,930,59,59,15,15,0,0,5,1,5,1,0,30,30,0,0,,0,0
164,牛魔法师3,55,55,55,55,990,59,59,15,15,0,0,7,1,7,1,0,30,30,0,0,,0,0
165,牛魔法师4,58,58,58,58,1050,59,59,15,15,0,0,10,2,10,2,0,30,30,0,0,,0,0
166,牛魔法师5,60,60,60,60,1110,59,59,15,15,0,0,12,2,12,2,0,30,30,0,0,,0,0
167,牛魔法师6,62,62,62,62,1170,59,59,15,15,0,0,14,2,14,2,0,30,30,0,0,,0,0
168,牛魔法师7,67,67,67,67,1350,59,59,15,15,0,0,19,5,19,5,120,30,30,0,0,,0,0
169,牛魔将军0,44,52,0,0,1250,60,60,20,20,0,0,0,0,0,0,250,30,30,10,10,,0,0
170,牛魔将军1,46,55,0,0,1338,60,60,20,20,0,0,2,1,0,0,278,30,30,10,10,,0,0
171,牛魔将军2,48,57,0,0,1425,60,60,20,20,0,0,4,1,0,0,305,30,30,10,10,,0,0
172,牛魔将军3,51,60,0,0,1513,60,60,20,20,0,0,7,2,0,0,333,30,30,10,10,,0,0
173,牛魔将军4,53,62,0,0,1600,60,60,20,20,0,0,9,2,0,0,360,30,30,10,10,,0,0
174,牛魔将军5,55,65,0,0,1688,60,60,20,20,0,0,11,3,0,0,388,30,30,10,10,,0,0
175,牛魔将军6,57,68,0,0,1775,60,60,20,20,0,0,13,4,0,0,415,30,30,10,10,,0,0
176,牛魔将军7,62,73,0,0,1863,60,60,20,20,0,0,18,7,0,0,443,30,30,10,10,,0,0
177,牛魔将军30,40,44,0,0,1250,31,31,0,0,0,0,0,0,0,0,260,15,15,0,0,,0,0
178,牛魔将军31,42,46,0,0,1338,31,31,0,0,0,0,2,0,0,0,288,15,15,0,0,,0,0
179,牛魔将军32,44,48,0,0,1425,31,31,0,0,0,0,4,0,0,0,315,15,15,0,0,,0,0
180,牛魔将军33,46,51,0,0,1513,31,31,0,0,0,0,6,1,0,0,343,15,15,0,0,,0,0
181,牛魔将军34,48,53,0,0,1600,31,31,0,0,0,0,8,1,0,0,370,15,15,0,0,,0,0
182,牛魔将军35,50,55,0,0,1688,31,31,0,0,0,0,10,1,0,0,398,15,15,0,0,,0,0
183,牛魔将军36,52,57,0,0,1775,31,31,0,0,0,0,12,1,0,0,425,15,15,0,0,,0,0
184,牛魔将军37,56,62,0,0,1863,31,31,0,0,0,0,16,4,0,0,453,15,15,0,0,,0,0
185,天狼蜘蛛0,40,62,0,0,1275,57,57,10,10,0,0,0,0,0,0,0,28,28,0,0,,0,0
186,天狼蜘蛛1,42,65,0,0,1364,57,57,10,10,0,0,2,1,0,0,29,28,28,0,0,,0,0
187,天狼蜘蛛2,44,68,0,0,1454,57,57,10,10,0,0,4,2,0,0,59,28,28,0,0,,0,0
188,天狼蜘蛛3,46,71,0,0,1543,57,57,10,10,0,0,6,3,0,0,88,28,28,0,0,,0,0
189,天狼蜘蛛4,48,74,0,0,1632,57,57,10,10,0,0,8,4,0,0,117,28,28,0,0,,0,0
190,天狼蜘蛛5,50,78,0,0,1721,57,57,10,10,0,0,10,6,0,0,146,28,28,0,0,,0,0
191,天狼蜘蛛6,52,81,0,0,1811,57,57,10,10,0,0,12,7,0,0,176,28,28,0,0,,0,0
192,天狼蜘蛛7,56,87,0,0,1900,57,57,10,10,0,0,16,11,0,0,205,28,28,0,0,,0,0
193,天狼蜘蛛50,45,64,0,0,855,65,65,23,23,0,0,0,0,0,0,0,42,42,0,0,,0,0
194,天狼蜘蛛51,47,67,0,0,915,65,65,23,23,0,0,2,1,0,0,0,42,42,0,0,,0,0
195,天狼蜘蛛52,50,70,0,0,975,65,65,23,23,0,0,5,2,0,0,0,42,42,0,0,,0,0
196,天狼蜘蛛53,52,74,0,0,1035,65,65,23,23,0,0,7,4,0,0,0,42,42,0,0,,0,0
197,天狼蜘蛛54,54,77,0,0,1094,65,65,23,23,0,0,9,5,0,0,0,42,42,0,0,,0,0
198,天狼蜘蛛55,56,80,0,0,1154,65,65,23,23,0,0,11,6,0,0,0,42,42,0,0,,0,0
199,天狼蜘蛛56,59,83,0,0,1214,65,65,23,23,0,0,14,7,0,0,0,42,42,0,0,,0,0
200,天狼蜘蛛57,63,90,0,0,1274,65,65,23,23,0,0,18,12,0,0,0,42,42,0,0,,0,0
201,黑锷蜘蛛0,36,76,0,0,2000,81,81,25,25,0,0,0,0,0,0,0,40,40,0,0,,0,0
202,黑锷蜘蛛1,38,80,0,0,2140,81,81,25,25,0,0,2,2,0,0,80,40,40,0,0,,0,0
203,黑锷蜘蛛2,40,84,0,0,2280,81,81,25,25,0,0,4,4,0,0,160,40,40,0,0,,0,0
204,黑锷蜘蛛3,41,87,0,0,2420,81,81,25,25,0,0,5,5,0,0,240,40,40,0,0,,0,0
205,黑锷蜘蛛4,43,91,0,0,2560,81,81,25,25,0,0,7,7,0,0,320,40,40,0,0,,0,0
206,黑锷蜘蛛5,45,95,0,0,2700,81,81,25,25,0,0,9,9,0,0,400,40,40,0,0,,0,0
207,黑锷蜘蛛6,47,99,0,0,2840,81,81,25,25,0,0,11,11,0,0,480,40,40,0,0,,0,0
208,黑锷蜘蛛7,50,106,0,0,2980,81,81,25,25,0,0,14,16,0,0,560,40,40,0,0,,0,0
209,黑锷蜘蛛30,13,57,0,0,1200,74,74,23,23,0,0,0,0,0,0,0,32,32,0,0,,0,0
210,黑锷蜘蛛31,14,60,0,0,1284,74,74,23,23,0,0,1,1,0,0,24,32,32,0,0,,0,0
211,黑锷蜘蛛32,14,63,0,0,1368,74,74,23,23,0,0,1,2,0,0,48,32,32,0,0,,0,0
212,黑锷蜘蛛33,15,66,0,0,1452,74,74,23,23,0,0,2,3,0,0,72,32,32,0,0,,0,0
213,黑锷蜘蛛34,16,68,0,0,1536,74,74,23,23,0,0,3,3,0,0,96,32,32,0,0,,0,0
214,黑锷蜘蛛35,16,71,0,0,1620,74,74,23,23,0,0,3,4,0,0,120,32,32,0,0,,0,0
215,黑锷蜘蛛36,17,74,0,0,1704,74,74,23,23,0,0,4,5,0,0,144,32,32,0,0,,0,0
216,黑锷蜘蛛37,18,80,0,0,1788,74,74,23,23,0,0,5,9,0,0,168,32,32,0,0,,0,0
217,黑锷蜘蛛50,13,57,13,57,1200,64,64,23,32,0,0,0,0,0,0,0,22,22,0,0,,0,0
218,黑锷蜘蛛51,14,60,14,60,1284,64,64,23,32,0,0,1,1,1,3,24,22,22,0,0,,0,0
219,黑锷蜘蛛52,14,63,14,63,1368,64,64,23,32,0,0,1,2,1,6,48,22,22,0,0,,0,0
220,黑锷蜘蛛53,15,66,15,66,1452,64,64,23,32,0,0,2,3,2,9,72,22,22,0,0,,0,0
221,黑锷蜘蛛54,16,68,16,68,1536,64,64,23,32,0,0,3,3,3,11,96,22,22,0,0,,0,0
222,黑锷蜘蛛55,16,71,16,71,1620,64,64,23,32,0,0,3,4,3,14,120,22,22,0,0,,0,0
223,黑锷蜘蛛56,17,74,17,74,1704,64,64,23,32,0,0,4,5,4,17,144,22,22,0,0,,0,0
224,黑锷蜘蛛57,18,80,18,80,1788,64,64,23,32,0,0,5,9,5,23,168,22,22,0,0,,0,0
225,魔龙刺蛙0,80,96,80,96,1800,63,63,15,15,0,0,0,0,0,0,0,32,32,0,0,,0,0
226,魔龙刺蛙1,84,101,84,101,1926,63,63,15,15,0,0,4,3,4,3,66,32,32,0,0,,0,0
227,魔龙刺蛙2,88,106,88,106,2052,63,63,15,15,0,0,8,6,8,6,132,32,32,0,0,,0,0
228,魔龙刺蛙3,92,110,92,110,2178,63,63,15,15,0,0,12,8,12,8,198,32,32,0,0,,0,0
229,魔龙刺蛙4,96,115,96,115,2304,63,63,15,15,0,0,16,11,16,11,264,32,32,0,0,,0,0
230,魔龙刺蛙5,100,120,100,120,2430,63,63,15,15,0,0,20,14,20,14,330,32,32,0,0,,0,0
231,魔龙刺蛙6,104,125,104,125,2556,63,63,15,15,0,0,24,17,24,17,396,32,32,0,0,,0,0
232,魔龙刺蛙7,112,134,112,134,2682,63,63,15,15,0,0,32,24,32,24,462,32,32,0,0,,0,0
233,兵蚁0,100,100,100,100,6000,105,105,30,30,0,0,0,0,0,0,0,0,0,0,0,,0,0
234,兵蚁1,105,105,105,105,6420,105,105,30,30,0,0,5,3,5,3,360,0,0,0,0,,0,0
235,兵蚁2,110,110,110,110,6840,105,105,30,30,0,0,10,6,10,6,720,0,0,0,0,,0,0
