///key,,,,,,,,,,,,,,,,,,
///Filter,,,,,,,,,,,,,,,,,,
//序列,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
索引,教主名称,教主坐标x,刷新地图,地图名称,地图坐标x,时间显示,时间坐标x,刷新浮动,浮动坐标x,占用变量,已刷状态x,未刷状态x,刷新状态,状态显示x,统一坐标y,刷新CD,查询名称,击杀索引
20,暗之牛魔王,170,d2079,牛魔寺庙大厅,49,120分钟,289,5分钟,380,G140,460,452,A140,555,222,7200,暗之牛魔王,暗之牛魔王d2079
21,上古牛魔天神,165,jjc14,牛魔禁地,64,360分钟,289,5分钟,380,G141,460,452,A141,555,261,21600,上古牛魔天神,上古牛魔天神jjc14
22,鬼眼妖蛛,180,d10062,赤月巢穴,64,120分钟,289,/,395,G142,460,452,A142,555,300,7200,鬼眼妖蛛,鬼眼妖蛛d10062
23,恶魔蛛王,180,d10061,恶魔祭坛,64,120分钟,289,/,395,G143,460,452,A143,555,339,7200,恶魔蛛王,恶魔蛛王d10061
24,万恶之源,180,pansi,盘丝洞,70,180分钟,289,5分钟,380,G144,460,452,A144,555,378,10800,万恶之源,万恶之源pansi
25,魔龙万年树妖,165,64,魔龙谷,70,120分钟,289,5分钟,380,G145,460,452,A145,555,105,7200,魔龙万年树妖,魔龙万年树妖64
26,魔龙教主,180,65,龙源血路,64,120分钟,289,5分钟,380,G146,460,452,A146,555,144,7200,魔龙教主,魔龙教主65
27,暗之魔龙教主,165,66,魔龙血域,64,120分钟,289,5分钟,380,G147,460,452,A147,555,183,7200,暗之魔龙教主,暗之魔龙教主66
28,鸡,205,m001,未知暗殿,64,60分钟,292,5分钟,380,G148,460,452,A148,555,222,3600,鸡7,鸡7m001
29,热血神鹰,180,l001,崎岖峡谷,64,360分钟,289,5分钟,380,G149,460,452,A149,555,261,21600,热血神鹰,热血神鹰l001
30,通天老祖,180,zyt7,通天塔四层,55,60分钟,292,5分钟,380,G150,460,452,A150,555,300,3600,通天老祖,通天老祖zyt7
31,剑圣,195,zyt4,通天塔六层,55,60分钟,292,5分钟,380,G151,460,452,A151,555,339,3600,剑圣,剑圣zyt4
32,通天教主,180,prcmap8,通天塔八层,55,180分钟,289,5分钟,380,G152,460,452,A152,555,378,10800,通天教主,通天教主prcmap8
33,通天降龙圣尊,165,zyt8,通天塔九层,55,360分钟,289,5分钟,380,G153,460,452,A153,555,105,21600,通天降龙圣尊,通天降龙圣尊zyt8
34,魔龙万年树妖,165,nr001,世外桃源,64,720分钟,289,/,395,G154,460,452,A154,555,144,43200,魔龙万年树妖,魔龙万年树妖nr001
35,半兽人统领,170,srld,兽人领地,64,360分钟,289,5分钟,380,G156,460,452,A156,555,183,21600,半兽人统领,半兽人统领srld
36,幽灵教主,180,ylc4,幽灵船四层,55,180分钟,289,5分钟,380,G157,460,452,A157,555,222,10800,幽灵教主,幽灵教主ylc4
37,海妖王,185,ylc5,幽灵海底,64,120分钟,289,/,395,G158,460,452,A158,555,261,7200,海妖王,海妖王ylc5
38,永恒部落兽王,165,mssd,迷失神殿,64,180分钟,289,/,395,G159,460,452,A159,555,300,10800,永恒部落兽王,永恒部落兽王mssd
39,暗黑亡灵,180,dxhl03,地下王陵,64,180分钟,289,5分钟,380,G160,460,452,A160,555,339,10800,暗黑亡灵,暗黑亡灵dxhl03
40,蚁后,195,myd03,蚂蚁洞,70,120分钟,289,5分钟,380,G161,460,452,A161,555,378,7200,蚁后,蚁后myd03
41,阿修罗之王,170,tkzc03,天空之城,64,180分钟,289,/,395,G162,460,452,A162,555,105,10800,阿修罗之王,阿修罗之王tkzc03
42,寒冰雪翼神,170,bg03,冰宫二层,64,180分钟,289,5分钟,380,G163,460,452,A163,555,144,10800,寒冰雪翼神,寒冰雪翼神bg03
43,美杜莎,185,bg04,冰宫三层,64,180分钟,289,5分钟,380,G164,460,452,A164,555,183,10800,美杜莎,美杜莎bg04
44,冰原王,185,bg05,地下冰原,64,180分钟,289,5分钟,380,G165,460,452,A165,555,222,10800,冰原王,冰原王bg05
45,冰原魔,185,bg07,冰霜玄境,64,180分钟,289,5分钟,380,G166,460,452,A166,555,261,10800,冰原魔,冰原魔bg07
46,上古冰龙之王,165,bg07,冰霜玄境,64,360分钟,289,/,395,G167,460,452,A167,555,300,21600,上古·冰龙之王,上古·冰龙之王bg07
47,领地魔君,180,zsd03,古神领地二层,49,180分钟,289,5分钟,380,G168,460,452,A168,555,339,10800,领地魔君,领地魔君zsd03
48,湮灭恶龙,180,zsd04,古神领地三层,49,180分钟,289,5分钟,380,G169,460,452,A169,555,378,10800,湮灭恶龙,湮灭恶龙zsd04
49,残骸·古神之翼,165,zsd05,葬神殿,70,360分钟,289,/,395,G170,460,452,A170,555,105,21600,残骸·古神之翼,残骸·古神之翼zsd05
50,盟重霸主,180,mzbz,盟重信使之地,49,系统刷新,289,/,395,空,475,452,空,555,144,空,空,空
51,比奇城主,180,bqbz,比奇信使之地,49,系统刷新,289,/,395,空,475,452,空,555,183,空,空,空
52,封魔谷主,180,fmbz,封魔信使之地,49,系统刷新,289,/,395,空,475,452,空,555,222,空,空,空
53,苍月岛主,180,cybz,苍月信使之地,49,系统刷新,289,/,395,空,475,452,空,555,261,空,空,空
54,白日门主,180,brbz,白日信使之地,49,系统刷新,289,/,395,空,475,452,空,555,300,空,空,空
55,石墓尸王,180,jjc02,石墓尸王殿,55,120分钟,289,5分钟,380,G171,460,452,A171,555,339,7200,石墓尸王,石墓尸王jjc02
56,蚁王,195,t115,蚁王巢穴,64,120分钟,289,5分钟,380,G172,460,452,A172,555,378,7200,蚁王,蚁王t115
57,万兽之王,180,hf005,万兽秘境,64,120分钟,289,5分钟,380,G173,460,452,A173,555,105,7200,万兽之王,万兽之王hf005
58,天外异魔,180,ztg4,九重云霄,64,360分钟,289,5分钟,380,G174,460,452,A174,555,144,21600,天外异魔,天外异魔ztg4
59,龙皇主宰,180,lhjd1,流放之地,64,180分钟,289,5分钟,380,G175,460,452,A175,555,183,10800,龙皇主宰,龙皇主宰lhjd1
60,天魔至尊,180,lhjd6,混沌之地,64,180分钟,289,5分钟,380,G176,460,452,A176,555,222,10800,天魔至尊,天魔至尊lhjd6
61,无极·九天龙皇,165,qyzd,神罚之地,64,360分钟,289,5分钟,380,G177,460,452,A177,555,261,21600,无极·九天龙皇,无极·九天龙皇qyzd
62,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,
