///key,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
///Filter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//;图鉴序号,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
佩饰排序,佩饰名字,佩饰等级,副属性数量,主属性经验,副属性1经验,副属性2经验,副属性3经验,副属性4经验,副属性5经验,总经验,出生属性数量,出生属性ID,出生属性ID2,显示属性ID,出生属性值1,出生属性值2,随机副属性权重,主属性失败,主属性升华,主属性完美,副属性1失败,副属性1升华,副属性2完美,副属性2失败,副属性2升华,副属性2完美,副属性3失败,副属性3升华,副属性3完美,副属性4失败,副属性4升华,副属性4完美,副属性5失败,副属性5升华,副属性5完美,战士额外属性权重,法师额外属性权重,道士额外属性权重
11,锋刃·雷音鼓,2,2,0,200000,600000,0,0,0,600000,2,9,10,22,1,2,生命值#50|物理攻击#50|魔法攻击#50|道术攻击#50|物理防御#50|魔法防御#50|敏捷#50|准确#50|吸血#50|物理反弹#50|魔法反弹#50|忽视防御#50|魔伤减免#50|物理减免#50,40,40,20,40,40,20,40,40,20,0,0,0,0,0,0,0,0,0,暴击几率#50|暴击伤害#50|攻击百分比#50|物防百分比#50|魔防百分比#50|HP上限#50|忽视防御#50|烈火伤害#50|对怪增伤#50|韧性#50|攻击速度#50,暴击几率#50|暴击伤害#50|魔法百分比#50|物防百分比#50|魔防百分比#50|HP上限#50|忽视防御#50|雷电伤害#50|冰咆哮伤害#50|火雨伤害#50|对怪增伤#50|韧性#50,暴击几率#50|暴击伤害#50|道术百分比#50|物防百分比#50|魔防百分比#50|HP上限#50|忽视防御#50|火符伤害#50|对怪增伤#50|韧性#50
12,破法·燃魂灯,2,2,0,200000,600000,0,0,0,600000,2,11,12,23,1,2,生命值#50|物理攻击#50|魔法攻击#50|道术攻击#50|物理防御#50|魔法防御#50|敏捷#50|准确#50|吸血#50|物理反弹#50|魔法反弹#50|忽视防御#50|魔伤减免#50|物理减免#50,40,40,20,40,40,20,40,40,20,0,0,0,0,0,0,0,0,0,暴击几率#50|暴击伤害#50|攻击百分比#50|物防百分比#50|魔防百分比#50|HP上限#50|忽视防御#50|烈火伤害#50|对怪增伤#50|韧性#50|攻击速度#50,暴击几率#50|暴击伤害#50|魔法百分比#50|物防百分比#50|魔防百分比#50|HP上限#50|忽视防御#50|雷电伤害#50|冰咆哮伤害#50|火雨伤害#50|对怪增伤#50|韧性#50,暴击几率#50|暴击伤害#50|道术百分比#50|物防百分比#50|魔防百分比#50|HP上限#50|忽视防御#50|火符伤害#50|对怪增伤#50|韧性#50
13,源泉·七宝莲,3,3,0,400000,1000000,1800000,0,0,1800000,1,1,0,21,30,0,生命值#50|物理攻击#50|魔法攻击#50|道术攻击#50|物理防御#50|魔法防御#50|敏捷#50|准确#50|吸血#50|物理反弹#50|魔法反弹#50|忽视防御#50|魔伤减免#50|物理减免#50,40,40,20,40,40,20,40,40,20,45,40,15,0,0,0,0,0,0,暴击几率#50|暴击伤害#50|攻击百分比#50|物防百分比#50|魔防百分比#50|HP上限#50|忽视防御#50|烈火伤害#50|对怪增伤#50|韧性#50|攻击速度#50,暴击几率#50|暴击伤害#50|魔法百分比#50|物防百分比#50|魔防百分比#50|HP上限#50|忽视防御#50|雷电伤害#50|冰咆哮伤害#50|火雨伤害#50|对怪增伤#50|韧性#50,暴击几率#50|暴击伤害#50|道术百分比#50|物防百分比#50|魔防百分比#50|HP上限#50|忽视防御#50|火符伤害#50|对怪增伤#50|韧性#50
14,怒刃·番天印,3,3,0,400000,1000000,1800000,0,0,1800000,2,3,4,24,1,3,生命值#50|物理攻击#50|魔法攻击#50|道术攻击#50|物理防御#50|魔法防御#50|敏捷#50|准确#50|吸血#50|物理反弹#50|魔法反弹#50|忽视防御#50|魔伤减免#50|物理减免#50,40,40,20,40,40,20,40,40,20,45,40,15,0,0,0,0,0,0,暴击几率#50|暴击伤害#50|攻击百分比#50|物防百分比#50|魔防百分比#50|HP上限#50|忽视防御#50|烈火伤害#50|对怪增伤#50|韧性#50|攻击速度#50,暴击几率#50|暴击伤害#50|魔法百分比#50|物防百分比#50|魔防百分比#50|HP上限#50|忽视防御#50|雷电伤害#50|冰咆哮伤害#50|火雨伤害#50|对怪增伤#50|韧性#50,暴击几率#50|暴击伤害#50|道术百分比#50|物防百分比#50|魔防百分比#50|HP上限#50|忽视防御#50|火符伤害#50|对怪增伤#50|韧性#50
15,玄奥·伏羲琴,3,3,0,400000,1000000,1800000,0,0,1800000,2,5,6,25,1,3,生命值#50|物理攻击#50|魔法攻击#50|道术攻击#50|物理防御#50|魔法防御#50|敏捷#50|准确#50|吸血#50|物理反弹#50|魔法反弹#50|忽视防御#50|魔伤减免#50|物理减免#50,40,40,20,40,40,20,40,40,20,45,40,15,0,0,0,0,0,0,暴击几率#50|暴击伤害#50|攻击百分比#50|物防百分比#50|魔防百分比#50|HP上限#50|忽视防御#50|烈火伤害#50|对怪增伤#50|韧性#50|攻击速度#50,暴击几率#50|暴击伤害#50|魔法百分比#50|物防百分比#50|魔防百分比#50|HP上限#50|忽视防御#50|雷电伤害#50|冰咆哮伤害#50|火雨伤害#50|对怪增伤#50|韧性#50,暴击几率#50|暴击伤害#50|道术百分比#50|物防百分比#50|魔防百分比#50|HP上限#50|忽视防御#50|火符伤害#50|对怪增伤#50|韧性#50
16,阴阳·判官笔,3,3,0,400000,1000000,1800000,0,0,1800000,2,7,8,26,1,3,生命值#50|物理攻击#50|魔法攻击#50|道术攻击#50|物理防御#50|魔法防御#50|敏捷#50|准确#50|吸血#50|物理反弹#50|魔法反弹#50|忽视防御#50|魔伤减免#50|物理减免#50,40,40,20,40,40,20,40,40,20,45,40,15,0,0,0,0,0,0,暴击几率#50|暴击伤害#50|攻击百分比#50|物防百分比#50|魔防百分比#50|HP上限#50|忽视防御#50|烈火伤害#50|对怪增伤#50|韧性#50|攻击速度#50,暴击几率#50|暴击伤害#50|魔法百分比#50|物防百分比#50|魔防百分比#50|HP上限#50|忽视防御#50|雷电伤害#50|冰咆哮伤害#50|火雨伤害#50|对怪增伤#50|韧性#50,暴击几率#50|暴击伤害#50|道术百分比#50|物防百分比#50|魔防百分比#50|HP上限#50|忽视防御#50|火符伤害#50|对怪增伤#50|韧性#50
17,锋刃·八卦炉,3,3,0,400000,1000000,1800000,0,0,1800000,2,9,10,22,1,3,生命值#50|物理攻击#50|魔法攻击#50|道术攻击#50|物理防御#50|魔法防御#50|敏捷#50|准确#50|吸血#50|物理反弹#50|魔法反弹#50|忽视防御#50|魔伤减免#50|物理减免#50,40,40,20,40,40,20,40,40,20,45,40,15,0,0,0,0,0,0,暴击几率#50|暴击伤害#50|攻击百分比#50|物防百分比#50|魔防百分比#50|HP上限#50|忽视防御#50|烈火伤害#50|对怪增伤#50|韧性#50|攻击速度#50,暴击几率#50|暴击伤害#50|魔法百分比#50|物防百分比#50|魔防百分比#50|HP上限#50|忽视防御#50|雷电伤害#50|冰咆哮伤害#50|火雨伤害#50|对怪增伤#50|韧性#50,暴击几率#50|暴击伤害#50|道术百分比#50|物防百分比#50|魔防百分比#50|HP上限#50|忽视防御#50|火符伤害#50|对怪增伤#50|韧性#50
18,破法·混元伞,3,3,0,400000,1000000,1800000,0,0,1800000,2,11,12,23,1,3,生命值#50|物理攻击#50|魔法攻击#50|道术攻击#50|物理防御#50|魔法防御#50|敏捷#50|准确#50|吸血#50|物理反弹#50|魔法反弹#50|忽视防御#50|魔伤减免#50|物理减免#50,40,40,20,40,40,20,40,40,20,45,40,15,0,0,0,0,0,0,暴击几率#50|暴击伤害#50|攻击百分比#50|物防百分比#50|魔防百分比#50|HP上限#50|忽视防御#50|烈火伤害#50|对怪增伤#50|韧性#50|攻击速度#50,暴击几率#50|暴击伤害#50|魔法百分比#50|物防百分比#50|魔防百分比#50|HP上限#50|忽视防御#50|雷电伤害#50|冰咆哮伤害#50|火雨伤害#50|对怪增伤#50|韧性#50,暴击几率#50|暴击伤害#50|道术百分比#50|物防百分比#50|魔防百分比#50|HP上限#50|忽视防御#50|火符伤害#50|对怪增伤#50|韧性#50
19,源泉·补天石,4,5,0,800000,1800000,3000000,4600000,6800000,6800000,1,1,0,21,50,0,生命值#50|物理攻击#50|魔法攻击#50|道术攻击#50|物理防御#50|魔法防御#50|敏捷#50|准确#50|吸血#50|物理反弹#50|魔法反弹#50|忽视防御#50|魔伤减免#50|物理减免#50,40,40,20,40,40,20,40,40,20,40,40,20,45,40,15,50,40,10,战士1号属性#350|战士2号属性#300|战士3号属性#200|战士4号属性#150,法师1号属性#350|法师2号属性#300|法师3号属性#250|法师4号属性#100,道士1号属性#350|道士2号属性#300|道士3号属性#200|道士4号属性#150
20,怒刃·崆峒印,4,5,0,800000,1800000,3000000,4600000,6800000,6800000,2,3,4,24,2,5,生命值#50|物理攻击#50|魔法攻击#50|道术攻击#50|物理防御#50|魔法防御#50|敏捷#50|准确#50|吸血#50|物理反弹#50|魔法反弹#50|忽视防御#50|魔伤减免#50|物理减免#50,40,40,20,40,40,20,40,40,20,40,40,20,45,40,15,50,40,10,战士1号属性#350|战士2号属性#300|战士3号属性#200|战士4号属性#150,法师1号属性#350|法师2号属性#300|法师3号属性#250|法师4号属性#100,道士1号属性#350|道士2号属性#300|道士3号属性#200|道士4号属性#150
21,玄奥·混沌莲,4,5,0,800000,1800000,3000000,4600000,6800000,6800000,2,5,6,25,2,5,生命值#50|物理攻击#50|魔法攻击#50|道术攻击#50|物理防御#50|魔法防御#50|敏捷#50|准确#50|吸血#50|物理反弹#50|魔法反弹#50|忽视防御#50|魔伤减免#50|物理减免#50,40,40,20,40,40,20,40,40,20,40,40,20,45,40,15,50,40,10,战士1号属性#350|战士2号属性#300|战士3号属性#200|战士4号属性#150,法师1号属性#350|法师2号属性#300|法师3号属性#250|法师4号属性#100,道士1号属性#350|道士2号属性#300|道士3号属性#200|道士4号属性#150
22,阴阳·宝莲灯,4,5,0,800000,1800000,3000000,4600000,6800000,6800000,2,7,8,26,2,5,生命值#50|物理攻击#50|魔法攻击#50|道术攻击#50|物理防御#50|魔法防御#50|敏捷#50|准确#50|吸血#50|物理反弹#50|魔法反弹#50|忽视防御#50|魔伤减免#50|物理减免#50,40,40,20,40,40,20,40,40,20,40,40,20,45,40,15,50,40,10,战士1号属性#350|战士2号属性#300|战士3号属性#200|战士4号属性#150,法师1号属性#350|法师2号属性#300|法师3号属性#250|法师4号属性#100,道士1号属性#350|道士2号属性#300|道士3号属性#200|道士4号属性#150
23,锋刃·东皇钟,4,5,0,800000,1800000,3000000,4600000,6800000,6800000,2,9,10,22,2,5,生命值#50|物理攻击#50|魔法攻击#50|道术攻击#50|物理防御#50|魔法防御#50|敏捷#50|准确#50|吸血#50|物理反弹#50|魔法反弹#50|忽视防御#50|魔伤减免#50|物理减免#50,40,40,20,40,40,20,40,40,20,40,40,20,45,40,15,50,40,10,战士1号属性#350|战士2号属性#300|战士3号属性#200|战士4号属性#150,法师1号属性#350|法师2号属性#300|法师3号属性#250|法师4号属性#100,道士1号属性#350|道士2号属性#300|道士3号属性#200|道士4号属性#150
24,破法·社稷图,4,5,0,800000,1800000,3000000,4600000,6800000,6800000,2,11,12,23,2,5,生命值#50|物理攻击#50|魔法攻击#50|道术攻击#50|物理防御#50|魔法防御#50|敏捷#50|准确#50|吸血#50|物理反弹#50|魔法反弹#50|忽视防御#50|魔伤减免#50|物理减免#50,40,40,20,40,40,20,40,40,20,40,40,20,45,40,15,50,40,10,战士1号属性#350|战士2号属性#300|战士3号属性#200|战士4号属性#150,法师1号属性#350|法师2号属性#300|法师3号属性#250|法师4号属性#100,道士1号属性#350|道士2号属性#300|道士3号属性#200|道士4号属性#150
