///key,,,,,,,,,,,,,,,,,,,,,
///Filter,,编号：10,,,编号：599,,,编号：888,,,编号：666,,,编号：833,,,编号：528,,,编号：588,
//;序号,1,,3,4,,6,7,,9,10,,12,13,,15,16,,18,19,,21
怪物名字,加成系数,地狱雷光,威力加成,加成系数,刺杀剑法,威力加成,加成系数,雷电术,威力加成,加成系数,冰咆哮，玄冰刃,威力加成,加成系数,疾光电影,威力加成,加成系数,火系技能,威力加成,加成系数,灵魂火符,威力加成
血僵尸,1,24,40,0,12,33,0,11,10,1,33,25,1,10,40,,26,,0,13,20
血巨人,1,24,40,0,12,33,0,11,10,1,33,25,1,10,40,,26,,0,13,20
黑锷蜘蛛,1,24,40,0,12,33,0,11,20,1,33,25,1,10,40,,26,,0,13,20
天狼蜘蛛5,1,24,90,0,12,33,,11,,1,33,25,1,10,40,,26,,,13,
黑锷蜘蛛5,1,24,40,0,12,33,0,11,20,1,33,25,1,10,40,,26,,0,13,20
黑锷蜘蛛3,1,24,40,0,12,33,0,11,20,1,33,25,1,10,40,,26,,0,13,20
血巨人5,1,24,40,0,12,33,0,11,10,1,33,25,1,10,40,,26,,0,13,20
幻影蜘蛛,1,24,30,0,12,33,,11,,,33,,1,10,30,,26,,,13,
血僵尸5,1,24,40,0,12,33,0,11,10,1,33,25,1,10,40,,26,,0,13,20
变异邪恶巨人,1,24,40,0,12,33,0,11,10,1,33,25,1,10,40,,26,,0,13,20
嗜血红蚊,1,24,40,0,12,33,0,11,10,1,33,25,1,10,40,,26,,0,13,20
赤月藤妖,1,24,40,0,12,33,0,11,10,1,33,25,1,10,40,,26,,0,13,20
双头血魔,,24,,0,12,33,,11,,,33,,,10,,,26,,,13,
双头金刚,1,24,50,0,12,33,,11,,,33,,,10,,,26,,,13,
赤月恶魔,,24,,0,12,33,,11,,,33,,,10,,,26,,,13,
恶魔蛛王,1,24,90,0,12,33,,11,,,33,,1,10,30,,26,,,13,
鬼眼妖蛛,1,24,40,0,12,33,0,11,10,1,33,25,1,10,40,,26,,0,13,20
万恶之源,1,24,90,0,12,33,,11,,,33,,1,10,30,,26,,,13,
魔龙射手,0,24,40,0,12,33,0,11,20,,33,,,10,,,26,,0,13,20
魔龙血蛙,0,24,40,0,12,33,0,11,20,,33,,,10,,,26,,0,13,20
魔龙刺蛙,0,24,40,0,12,33,0,11,20,,33,,,10,,,26,,0,13,20
魔龙邪眼,0,24,40,0,12,33,0,11,20,,33,,,10,,,26,,0,13,20
魔龙刀兵,0,24,40,0,12,33,0,11,20,,33,,,10,,,26,,0,13,20
狂化魔龙巨蛾,0,24,40,0,12,33,0,11,20,,33,,,10,,,26,,0,13,20
狂化魔龙力士,0,24,40,0,12,33,0,11,20,,33,,,10,,,26,,0,13,20
狂化破甲兵,0,24,40,0,12,33,0,11,20,,33,,,10,,,26,,0,13,20
狂化魔龙战将,0,24,40,0,12,33,0,11,20,,33,,,10,,,26,,0,13,20
魔龙万年树妖,0,24,40,0,12,33,0,11,20,,33,,,10,,,26,,0,13,20
暗之魔龙教主,0,24,40,0,12,33,0,11,20,,33,,,10,,,26,,0,13,20
魔龙教主,0,24,40,0,12,33,0,11,20,,33,,,10,,,26,,0,13,20
半兽人7,,24,,0,12,33,,11,,,33,,,10,,,26,,,13,
半兽勇士7,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
骷髅精灵7,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
巨型多角虫7,,24,,0,12,33,,11,,,33,,1,10,30,,26,,,13,
邪恶毒蛇7,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
邪恶钳虫7,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
尸王7,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
沃玛卫士7,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
沃玛教主7,0,24,30,0,12,33,0,11,20,,33,,,10,,,26,,0,13,20
白野猪7,0,24,30,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
稻草人7,0,24,30,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
鹿7,,24,,0,12,33,,11,,,33,,1,10,30,,26,,,13,
鸡7,,24,,0,12,33,,11,,,33,,1,10,30,,26,,,13,
火烈鸟,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
通天寺守卫,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
守财刀奴,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
玄眉道长,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
鹿力大仙,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
伏地妖僧,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
鼓妖僧,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
通天祭祀女巫,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
通天魔婴,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
赤发妖僧,,24,,0,12,33,0,11,20,0,33,100,1,10,30,,26,,0,13,20
盗宝贼,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
通天老祖,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
通天守护者,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
通天炎魔,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
红衣罗汉,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
蓝衣罗汉,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
急先锋,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
引魂人,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
黑无常,0,24,40,0,12,33,0,11,20,0,33,100,1,10,30,,26,,0,13,20
白无常,,24,,0,12,33,0,11,20,0,33,100,1,10,30,,26,,0,13,20
土傀儡,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
石傀儡,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
龙卫士(战神),,24,,0,12,33,,11,,,33,,,10,,,26,,,13,
龙卫士(法神),,24,,0,12,33,,11,,,33,,,10,,,26,,,13,
龙卫士(天尊),,24,,0,12,33,,11,,,33,,,10,,,26,,,13,
剑圣,,24,,0,12,33,,11,,,33,,,10,,,26,,,13,
铁锤巨魔幻影,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
通天教主,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
通天降龙圣尊,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
半兽人统领,,24,,,12,,,11,,,33,,,10,,,26,,,13,
逆魔之王,0,24,40,0,12,33,0,11,20,0,33,100,1,10,30,,26,,0,13,20
海妖,,24,,0,12,33,,11,,,33,,,10,,,26,,,13,
八爪鱼,,24,,0,12,33,,11,,,33,,,10,,,26,,,13,
海鳄,,24,,0,12,33,,11,,,33,,,10,,,26,,,13,
幽灵海妖,,24,,0,12,33,,11,,,33,,,10,,,26,,,13,
幽灵海兽,,24,,0,12,33,,11,,,33,,,10,,,26,,,13,
铁鳌虾,,24,,0,12,33,,11,,,33,,,10,,,26,,,13,
幽灵守卫,,24,,0,12,33,,11,,,33,,,10,,,26,,,13,
鱼妖王,,24,,0,12,33,,11,,,33,,,10,,,26,,,13,
幽灵战将,0,24,40,0,12,33,0,11,20,0,33,100,1,10,30,,26,,0,13,20
海魔统领,0,24,40,0,12,33,0,11,20,0,33,100,1,10,30,,26,,0,13,20
海魔将军,0,24,40,0,12,33,0,11,20,,33,,,10,,,26,,0,13,20
深海妖花,,24,,0,12,33,,11,,,33,,,10,,,26,,,13,
幽灵祭祀,,24,,0,12,33,,11,,,33,,,10,,,26,,,13,
幽灵战神,,24,,0,12,33,,11,,,33,,,10,,,26,,,13,
幽灵教主,,24,,0,12,33,,11,,,33,,,10,,,26,,,13,
海妖王,,24,,0,12,33,,11,,,33,,,10,,,26,,,13,
部落猎手,1,24,90,,12,,,11,,,33,,1,10,30,,26,,,13,
迷失矿工,1,24,90,,12,,,11,,,33,,1,10,30,,26,,,13,
部落长矛兵,1,24,90,,12,,,11,,,33,,1,10,30,,26,,,13,
迷失刀兵,1,24,90,,12,,,11,,,33,,1,10,30,,26,,,13,
迷失巡游兵,1,24,90,,12,,,11,,,33,,1,10,30,,26,,,13,
巫妖术士,1,24,90,,12,,,11,,,33,,1,10,30,,26,,,13,
部落兽厨,1,24,90,,12,,,11,,,33,,1,10,30,,26,,,13,
迷失鸟魔,1,24,90,,12,,,11,,,33,,1,10,30,,26,,,13,
迷失重锤兵,1,24,90,,12,,,11,,,33,,1,10,30,,26,,,13,
部落战神,1,24,90,,12,,,11,,,33,,1,10,30,,26,,,13,
部落树妖,1,24,90,,12,,,11,,,33,,1,10,30,,26,,,13,
变异长矛巨魔,1,24,90,,12,,,11,,,33,,1,10,30,,26,,,13,
古部落将军,1,24,90,,12,,,11,,,33,,1,10,30,,26,,,13,
迷失破坏者,1,24,90,,12,,,11,,,33,,1,10,30,,26,,,13,
永恒部落兽王,1,24,90,,12,,,11,,,33,,1,10,30,,26,,,13,
守陵奴隶,1,24,90,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
王陵护法,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
王陵祭祀,0,24,40,0,12,33,0,11,20,0,33,100,1,10,30,,26,,0,13,20
王陵雕像,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
王陵卫士,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
王陵双刀侍卫,0,24,30,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
王陵巨镰将军,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
地下巨锤统帅,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
死灵近侍,,24,,0,12,33,,11,,,33,,,10,,,26,,,13,
暗黑亡灵,,24,,0,12,33,,11,,,33,,,10,,,26,,,13,
工蚁,0,24,40,,12,,0,11,20,,33,,1,10,30,,26,,0,13,20
白蚁,0,24,40,,12,,0,11,20,,33,,1,10,30,,26,,0,13,20
火蚁,0,24,40,,12,,0,11,20,0,33,20,1,10,30,,26,,0,13,20
兵蚁,0,24,40,,12,,0,11,20,,33,,1,10,30,,26,,0,13,20
毒蚁,0,24,40,,12,,0,11,20,,33,,1,10,30,,26,,0,13,20
蚁后,0,24,40,,12,,0,11,20,,33,,1,10,30,,26,,0,13,20
暗影头目,1,24,90,0,12,33,,11,,,33,,1,10,30,,26,,,13,
魔神修罗,1,24,90,0,12,33,,11,,0,33,20,,10,,,26,,,13,
铁翼魔,1,24,90,0,12,33,,11,,,33,,1,10,30,,26,,,13,
突击精骑兵,1,24,90,0,12,33,,11,,,33,,1,10,30,,26,,,13,
天界神射手,1,24,90,0,12,33,,11,,,33,,1,10,30,,26,,,13,
天界枪卒,1,24,90,0,12,33,,11,,,33,,1,10,30,,26,,,13,
重甲护卫,1,24,90,0,12,33,,11,,,33,,1,10,30,,26,,,13,
铁锤悍将,1,24,90,0,12,33,,11,,,33,,1,10,30,,26,,,13,
暗影修罗,1,24,90,0,12,33,,11,,,33,,1,10,30,,26,,,13,
黑袍修罗,1,24,90,0,12,33,,11,,0,33,20,1,10,30,,26,,,13,
幽冥界主,1,24,90,0,12,33,,11,,,33,,1,10,30,,26,,,13,
铁血妖后,1,24,90,0,12,33,,11,,,33,,1,10,30,,26,,,13,
幽灵骑士,1,24,90,0,12,33,,11,,,33,,1,10,30,,26,,,13,
阿修罗之王,1,24,90,0,12,33,,11,,,33,,1,10,30,,26,,,13,
冰原法师（远程）,0,24,40,0,12,33,0,11,20,,33,,1,10,30,0,26,50,0,13,70
冰原狼,0,24,40,0,12,33,0,11,20,,33,,1,10,30,0,26,50,0,13,70
寒冰巨蟒,0,24,40,0,12,33,0,11,20,,33,,1,10,30,0,26,50,0,13,70
冰巨人,0,24,40,0,12,33,0,11,20,,33,,1,10,30,0,26,50,0,13,70
冰甲虫,0,24,40,0,12,33,0,11,20,,33,,1,10,30,0,26,50,0,13,70
冰剑士,0,24,40,0,12,33,0,11,20,,33,,1,10,30,0,26,50,0,13,70
寒冰野人,0,24,40,0,12,33,0,11,20,,33,,1,10,30,0,26,50,0,13,70
雪原弓箭手,0,24,40,0,12,33,0,11,20,,33,,1,10,30,0,26,50,0,13,70
寒冰战灵,0,24,40,0,12,33,0,11,20,,33,,1,10,30,0,26,50,0,13,70
冰霜之女,0,24,40,0,12,33,0,11,20,,33,,1,10,30,0,26,50,0,13,70
冰原王,,24,,0,12,33,,11,,,33,,,10,,0,26,50,0,13,70
冰原魔,0,24,40,0,12,33,0,11,20,,33,,1,10,30,0,26,50,0,13,70
美杜莎,0,24,40,0,12,33,0,11,20,,33,,1,10,30,0,26,50,0,13,70
寒冰雪翼神,0,24,40,0,12,33,0,11,20,,33,,1,10,30,0,26,50,0,13,70
上古·冰龙之王,0,24,40,0,12,33,0,11,20,,33,,1,10,30,0,26,50,0,13,70
熔岩石魔,1,24,40,0,12,33,0,11,10,0,33,20,1,10,40,,26,,0,13,20
古神骑兵,1,24,40,0,12,33,0,11,10,0,33,20,1,10,40,,26,,0,13,20
熔岩蜘蛛,1,24,40,0,12,33,0,11,10,0,33,20,1,10,40,,26,,0,13,20
炎魔,1,24,40,0,12,33,0,11,10,0,33,20,1,10,40,,26,,0,13,20
领地守卫,1,24,40,0,12,33,0,11,10,0,33,20,1,10,40,,26,,0,13,20
领地守护者,1,24,40,0,12,33,0,11,10,0,33,20,1,10,40,,26,,0,13,20
魔炎护法,1,24,40,0,12,33,0,11,10,0,33,20,1,10,40,,26,,0,13,20
杀戮屠夫,1,24,40,0,12,33,0,11,10,0,33,20,1,10,40,,26,,0,13,20
地狱审判者,1,24,40,0,12,33,0,11,10,0,33,20,1,10,40,,26,,0,13,20
地狱灰烬者,1,24,40,0,12,33,0,11,10,0,33,20,1,10,40,,26,,0,13,20
湮灭恶龙,1,24,50,0,12,33,,11,,0,33,20,,10,,1,26,50,1,13,70
领地魔君,1,24,40,0,12,33,0,11,10,0,33,20,1,10,40,,26,,0,13,20
古神·万王之王,1,24,50,0,12,33,,11,,0,33,20,,10,,1,26,50,1,13,70
龙卫2,,24,,0,12,33,,11,,,33,,,10,,,26,,,13,
虎卫2,,24,,0,12,33,,11,,,33,,,10,,,26,,,13,
鹰卫2,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
上古祖龙神,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
东胜神州◆持国天王,1,24,40,0,12,33,0,11,10,1,33,25,1,10,40,,26,,0,13,20
南赡部洲◆增长天王,1,24,40,0,12,33,0,11,10,1,33,25,1,10,40,,26,,0,13,20
西牛贺洲◆广目天王,1,24,40,0,12,33,0,11,10,1,33,25,1,10,40,,26,,0,13,20
北俱芦洲◆多闻天王,1,24,40,0,12,33,0,11,10,1,33,25,1,10,40,,26,,0,13,20
青龙战士,,24,,0,12,33,,11,,,33,,,10,,,26,,,13,
白虎战士,,24,,0,12,33,,11,,,33,,,10,,,26,,,13,
金鹏战士,0,24,40,0,12,33,0,11,,,33,,1,10,30,,26,,0,13,20
苍月岛主,1,24,50,,12,,,11,,,33,,,10,,,26,,,13,
盟重霸主,1,24,50,0,12,33,,11,,,33,,,10,,,26,,,13,
比奇城主,1,24,50,0,12,33,,11,,,33,,,10,,,26,,,13,
封魔谷主,1,24,50,,12,,,11,,,33,,,10,,,26,,,13,
白日门主,0,24,40,,12,,0,11,,,33,,1,10,40,,26,,0,13,20
