//,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Idx,合成物品,合成IDX,合成材料1,材料1ID,材料1数量,合成材料2,材料2ID,材料2数量,合成材料3,材料3ID,材料3数量,合成材料4,材料4ID,材料4数量,合成材料5,材料5ID,材料5数量,合成材料6,材料6ID,材料6数量
27,火龙刀,50621,天外陨铁,10433,300,天命神石,10464,50,混元晶石,10432,500,,,,,,,,,
28,火龙杖,50622,天外陨铁,10433,300,天命神石,10464,50,混元晶石,10432,500,,,,,,,,,
29,火龙扇,50623,天外陨铁,10433,300,天命神石,10464,50,混元晶石,10432,500,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,
31,神器·游龙,50620,天外陨铁,10433,500,天命神石,10464,100,混元晶石,10432,500,百炼龙魂石,10431,500,,,,,,
32,神器·雷霆,50618,天外陨铁,10433,150,天命神石,10464,30,混元晶石,10432,100,百炼龙魂石,10431,100,,,,,,
33,神器·逍遥,50619,天外陨铁,10433,300,天命神石,10464,50,混元晶石,10432,250,百炼龙魂石,10431,250,,,,,,
34,,,,,,,,,,,,,,,,,,,,
35,暗月无双,50617,天外陨铁,10433,300,天命神石,10464,50,百炼龙魂石,10431,500,暗月,50601,1,,,,,,
36,至尊鬼炎,50614,天外陨铁,10433,30,天命神石,10464,5,百炼龙魂石,10431,50,黄金鬼炎,50612,1,,,,,,
37,干将莫邪,50616,天外陨铁,10433,150,女娲石,10463,300,天命神石,10464,15,干将,50585,1,莫邪,50592,1,,,
38,至尊屠龙,50615,天外陨铁,10433,150,天命神石,10464,15,屠龙,50235,1,上古屠龙,50581,1,黄金屠龙,50611,1,上古鬼炎,50598,1
39,,,,,,,,,,,,,,,,,,,,
40,上古：水寒剑,50632,天外陨铁,10433,500,天命神石,10464,100,百炼龙魂石,10431,3000,,,,,,,,,
41,上古：渊虹剑,50631,天外陨铁,10433,500,天命神石,10464,100,混元晶石,10432,3000,,,,,,,,,
42,上古：天问剑,50633,天外陨铁,10433,1000,天命神石,10464,300,混元晶石,10432,2000,百炼龙魂石,10431,3000,,,,,,
43,,,,,,,,,,,,,,,,,,,,
44,弑神,50626,天外陨铁,10433,300,天命神石,10464,50,百炼龙魂石,10431,500,,,,,,,,,
45,毒龙,50627,天外陨铁,10433,300,天命神石,10464,50,百炼龙魂石,10431,500,,,,,,,,,
46,凤舞,50625,天外陨铁,10433,300,天命神石,10464,50,混元晶石,10432,500,,,,,,,,,
47,巨阙,50628,天外陨铁,10433,500,天命神石,10464,100,混元晶石,10432,1000,,,,,,,,,
48,乾坤,50629,天外陨铁,10433,500,天命神石,10464,100,混元晶石,10432,1000,,,,,,,,,
49,无影,50630,天外陨铁,10433,500,天命神石,10464,100,混元晶石,10432,1000,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,
51,精灵の翔,50678,天外陨铁,10433,300,天命神石,10464,30,百炼龙魂石,10431,300,,,,,,,,,
52,天地の防,50679,天外陨铁,10433,300,天命神石,10464,30,百炼龙魂石,10431,300,,,,,,,,,
53,凤凰の飞,50680,天外陨铁,10433,500,天命神石,10464,50,混元晶石,10432,500,,,,,,,,,
54,诅咒の亡,50681,天外陨铁,10433,500,天命神石,10464,50,混元晶石,10432,500,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,
56,至尊魔戒,50682,持国天王魔戒,50683,1,增长天王魔戒,50684,1,广目天王魔戒,50685,1,多闻天王魔戒,50686,1,,,,,,
57,,,,,,,,,,,,,,,,,,,,
58,万兽仙甲,50809,万兽尊甲,50807,1,天命神石,10464,10,天外陨铁,10433,50,女娲石,10463,50,金币,1,15000000,,,
59,万兽仙袍,50810,万兽尊袍,50808,1,天命神石,10464,10,天外陨铁,10433,50,女娲石,10463,50,金币,1,15000000,,,
60,万兽神甲,50811,万兽仙甲,50809,1,天命神石,10464,30,天外陨铁,10433,150,女娲石,10463,150,金币,1,50000000,,,
61,万兽神袍,50812,万兽仙袍,50810,1,天命神石,10464,30,天外陨铁,10433,150,女娲石,10463,150,金币,1,50000000,,,
62,寒冰鬼炎,50847,天外陨铁,10433,50,天命神石,10464,5,百炼龙魂石,10431,100,黄金鬼炎,50612,1,,,,,,
63,炽焰鬼炎,50848,天外陨铁,10433,50,天命神石,10464,5,混元晶石,10432,50,上古鬼炎,50598,1,,,,,,
64,冰焰至尊剑,50849,百炼龙魂石,10431,300,天命神石,10464,50,混元晶石,10432,300,炽焰鬼炎,50848,1,寒冰鬼炎,50847,1,至尊鬼炎,50614,1
65,玄天剑,50841,天外陨铁,10433,10,百炼龙魂石,10431,10,金盒,10156,2,玄天,50586,1,,,,,,
66,镇天杖,50843,天外陨铁,10433,10,百炼龙魂石,10431,10,金盒,10156,2,镇天,50589,1,,,,,,
67,开天刃,50842,天外陨铁,10433,10,百炼龙魂石,10431,10,金盒,10156,2,开天,50588,1,,,,,,
68,霸者战神,50844,天外陨铁,10433,10,百炼龙魂石,10431,10,金盒,10156,2,霸者之刃,50587,1,,,,,,
69,上古龙吟,50845,天外陨铁,10433,10,百炼龙魂石,10431,10,金盒,10156,2,上古龙牙,50590,1,,,,,,
70,昆仑圣扇,50846,天外陨铁,10433,30,女娲石,10463,30,百炼龙魂石,10431,30,金盒,10156,2,昆仑扇,50593,1,,,
