///key,,,,,
///Filter,,,,,
//;序号,1,2,3,4,
合成排序,首饰名字,首饰分类,合成权重,,
21,白翼飞龙,"毕方,朱雀大帝,熔岩犀牛,白翼飞龙,三头狼,谛听,狻猊,九尾冰狐,冰原狼,九蛛兽",鬼狮鹰#50|天马#50|赤烟驹#50|青鸾#50|鲲鹏#50|咕噜神象#50|嗜血飞龙#50|寒霜巨龙#50|上古火龙#50|青龙大帝#50|金甲象#50|飞天狮#50|白虎大帝#50|玄武大帝#50|勾陈#50|玉麒麟#50|双头魔龙#50|雷霄巨蝎#50|七彩兽#50|黄金宝马#50|穷奇#50,0,
22,三头狼,"毕方,朱雀大帝,熔岩犀牛,白翼飞龙,三头狼,谛听,狻猊,九尾冰狐,冰原狼,九蛛兽",鬼狮鹰#50|天马#50|赤烟驹#50|青鸾#50|鲲鹏#50|咕噜神象#50|嗜血飞龙#50|寒霜巨龙#50|上古火龙#50|青龙大帝#50|金甲象#50|飞天狮#50|白虎大帝#50|玄武大帝#50|勾陈#50|玉麒麟#50|双头魔龙#50|雷霄巨蝎#50|七彩兽#50|黄金宝马#50|穷奇#50,0,【神】三头狼
23,谛听,"毕方,朱雀大帝,熔岩犀牛,白翼飞龙,三头狼,谛听,狻猊,九尾冰狐,冰原狼,九蛛兽",鬼狮鹰#50|天马#50|赤烟驹#50|青鸾#50|鲲鹏#50|咕噜神象#50|嗜血飞龙#50|寒霜巨龙#50|上古火龙#50|青龙大帝#50|金甲象#50|飞天狮#50|白虎大帝#50|玄武大帝#50|勾陈#50|玉麒麟#50|双头魔龙#50|雷霄巨蝎#50|七彩兽#50|黄金宝马#50|穷奇#50,0,【神】谛听
24,狻猊,"毕方,朱雀大帝,熔岩犀牛,白翼飞龙,三头狼,谛听,狻猊,九尾冰狐,冰原狼,九蛛兽",鬼狮鹰#50|天马#50|赤烟驹#50|青鸾#50|鲲鹏#50|咕噜神象#50|嗜血飞龙#50|寒霜巨龙#50|上古火龙#50|青龙大帝#50|金甲象#50|飞天狮#50|白虎大帝#50|玄武大帝#50|勾陈#50|玉麒麟#50|双头魔龙#50|雷霄巨蝎#50|七彩兽#50|黄金宝马#50|穷奇#50,0,【神】狻猊
25,九尾冰狐,"毕方,朱雀大帝,熔岩犀牛,白翼飞龙,三头狼,谛听,狻猊,九尾冰狐,冰原狼,九蛛兽",鬼狮鹰#50|天马#50|赤烟驹#50|青鸾#50|鲲鹏#50|咕噜神象#50|嗜血飞龙#50|寒霜巨龙#50|上古火龙#50|青龙大帝#50|金甲象#50|飞天狮#50|白虎大帝#50|玄武大帝#50|勾陈#50|玉麒麟#50|双头魔龙#50|雷霄巨蝎#50|七彩兽#50|黄金宝马#50|穷奇#50,0,【神】九尾冰狐
26,冰原狼,"毕方,朱雀大帝,熔岩犀牛,白翼飞龙,三头狼,谛听,狻猊,九尾冰狐,冰原狼,九蛛兽",鬼狮鹰#50|天马#50|赤烟驹#50|青鸾#50|鲲鹏#50|咕噜神象#50|嗜血飞龙#50|寒霜巨龙#50|上古火龙#50|青龙大帝#50|金甲象#50|飞天狮#50|白虎大帝#50|玄武大帝#50|勾陈#50|玉麒麟#50|双头魔龙#50|雷霄巨蝎#50|七彩兽#50|黄金宝马#50|穷奇#50,0,
27,九蛛兽,"毕方,朱雀大帝,熔岩犀牛,白翼飞龙,三头狼,谛听,狻猊,九尾冰狐,冰原狼,九蛛兽",鬼狮鹰#50|天马#50|赤烟驹#50|青鸾#50|鲲鹏#50|咕噜神象#50|嗜血飞龙#50|寒霜巨龙#50|上古火龙#50|青龙大帝#50|金甲象#50|飞天狮#50|白虎大帝#50|玄武大帝#50|勾陈#50|玉麒麟#50|双头魔龙#50|雷霄巨蝎#50|七彩兽#50|黄金宝马#50|穷奇#50,0,
28,鬼狮鹰,"鬼狮鹰,天马,赤烟驹,青鸾,鲲鹏,咕噜神象,嗜血飞龙,寒霜巨龙,上古火龙,青龙大帝,金甲象,飞天狮,白虎大帝,玄武大帝,勾陈,玉麒麟,双头魔龙,雷霄巨蝎,七彩兽,黄金宝马,穷奇",【神】七彩兽#4|【神】飞天狮#5|【神】双头魔龙#5|【神】金甲象#40|【神】寒霜巨龙#40|【神】天马#50|【神】狻猊#50|【神】玉麒麟#70|【神】鬼狮鹰#70|【神】九尾冰狐#70|【神】勾陈#70|【神】三头狼#76|【神】谛听#90|【神】玄武大帝#90|【神】青龙大帝#90|【神】黄金宝马#90|【神】白虎大帝#90,1,【神】鬼狮鹰
29,天马,"鬼狮鹰,天马,赤烟驹,青鸾,鲲鹏,咕噜神象,嗜血飞龙,寒霜巨龙,上古火龙,青龙大帝,金甲象,飞天狮,白虎大帝,玄武大帝,勾陈,玉麒麟,双头魔龙,雷霄巨蝎,七彩兽,黄金宝马,穷奇",【神】七彩兽#4|【神】飞天狮#5|【神】双头魔龙#5|【神】金甲象#40|【神】寒霜巨龙#40|【神】天马#50|【神】狻猊#50|【神】玉麒麟#70|【神】鬼狮鹰#70|【神】九尾冰狐#70|【神】勾陈#70|【神】三头狼#76|【神】谛听#90|【神】玄武大帝#90|【神】青龙大帝#90|【神】黄金宝马#90|【神】白虎大帝#90,1,【神】天马
30,赤烟驹,"鬼狮鹰,天马,赤烟驹,青鸾,鲲鹏,咕噜神象,嗜血飞龙,寒霜巨龙,上古火龙,青龙大帝,金甲象,飞天狮,白虎大帝,玄武大帝,勾陈,玉麒麟,双头魔龙,雷霄巨蝎,七彩兽,黄金宝马,穷奇",【神】七彩兽#4|【神】飞天狮#5|【神】双头魔龙#5|【神】金甲象#40|【神】寒霜巨龙#40|【神】天马#50|【神】狻猊#50|【神】玉麒麟#70|【神】鬼狮鹰#70|【神】九尾冰狐#70|【神】勾陈#70|【神】三头狼#76|【神】谛听#90|【神】玄武大帝#90|【神】青龙大帝#90|【神】黄金宝马#90|【神】白虎大帝#90,0,
31,青鸾,"鬼狮鹰,天马,赤烟驹,青鸾,鲲鹏,咕噜神象,嗜血飞龙,寒霜巨龙,上古火龙,青龙大帝,金甲象,飞天狮,白虎大帝,玄武大帝,勾陈,玉麒麟,双头魔龙,雷霄巨蝎,七彩兽,黄金宝马,穷奇",【神】七彩兽#4|【神】飞天狮#5|【神】双头魔龙#5|【神】金甲象#40|【神】寒霜巨龙#40|【神】天马#50|【神】狻猊#50|【神】玉麒麟#70|【神】鬼狮鹰#70|【神】九尾冰狐#70|【神】勾陈#70|【神】三头狼#76|【神】谛听#90|【神】玄武大帝#90|【神】青龙大帝#90|【神】黄金宝马#90|【神】白虎大帝#90,0,
32,鲲鹏,"鬼狮鹰,天马,赤烟驹,青鸾,鲲鹏,咕噜神象,嗜血飞龙,寒霜巨龙,上古火龙,青龙大帝,金甲象,飞天狮,白虎大帝,玄武大帝,勾陈,玉麒麟,双头魔龙,雷霄巨蝎,七彩兽,黄金宝马,穷奇",【神】七彩兽#4|【神】飞天狮#5|【神】双头魔龙#5|【神】金甲象#40|【神】寒霜巨龙#40|【神】天马#50|【神】狻猊#50|【神】玉麒麟#70|【神】鬼狮鹰#70|【神】九尾冰狐#70|【神】勾陈#70|【神】三头狼#76|【神】谛听#90|【神】玄武大帝#90|【神】青龙大帝#90|【神】黄金宝马#90|【神】白虎大帝#90,0,
33,咕噜神象,"鬼狮鹰,天马,赤烟驹,青鸾,鲲鹏,咕噜神象,嗜血飞龙,寒霜巨龙,上古火龙,青龙大帝,金甲象,飞天狮,白虎大帝,玄武大帝,勾陈,玉麒麟,双头魔龙,雷霄巨蝎,七彩兽,黄金宝马,穷奇",【神】七彩兽#4|【神】飞天狮#5|【神】双头魔龙#5|【神】金甲象#40|【神】寒霜巨龙#40|【神】天马#50|【神】狻猊#50|【神】玉麒麟#70|【神】鬼狮鹰#70|【神】九尾冰狐#70|【神】勾陈#70|【神】三头狼#76|【神】谛听#90|【神】玄武大帝#90|【神】青龙大帝#90|【神】黄金宝马#90|【神】白虎大帝#90,0,
34,嗜血飞龙,"鬼狮鹰,天马,赤烟驹,青鸾,鲲鹏,咕噜神象,嗜血飞龙,寒霜巨龙,上古火龙,青龙大帝,金甲象,飞天狮,白虎大帝,玄武大帝,勾陈,玉麒麟,双头魔龙,雷霄巨蝎,七彩兽,黄金宝马,穷奇",【神】七彩兽#4|【神】飞天狮#5|【神】双头魔龙#5|【神】金甲象#40|【神】寒霜巨龙#40|【神】天马#50|【神】狻猊#50|【神】玉麒麟#70|【神】鬼狮鹰#70|【神】九尾冰狐#70|【神】勾陈#70|【神】三头狼#76|【神】谛听#90|【神】玄武大帝#90|【神】青龙大帝#90|【神】黄金宝马#90|【神】白虎大帝#90,0,
35,寒霜巨龙,"鬼狮鹰,天马,赤烟驹,青鸾,鲲鹏,咕噜神象,嗜血飞龙,寒霜巨龙,上古火龙,青龙大帝,金甲象,飞天狮,白虎大帝,玄武大帝,勾陈,玉麒麟,双头魔龙,雷霄巨蝎,七彩兽,黄金宝马,穷奇",【神】七彩兽#4|【神】飞天狮#5|【神】双头魔龙#5|【神】金甲象#40|【神】寒霜巨龙#40|【神】天马#50|【神】狻猊#50|【神】玉麒麟#70|【神】鬼狮鹰#70|【神】九尾冰狐#70|【神】勾陈#70|【神】三头狼#76|【神】谛听#90|【神】玄武大帝#90|【神】青龙大帝#90|【神】黄金宝马#90|【神】白虎大帝#90,1,【神】寒霜巨龙
36,上古火龙,"鬼狮鹰,天马,赤烟驹,青鸾,鲲鹏,咕噜神象,嗜血飞龙,寒霜巨龙,上古火龙,青龙大帝,金甲象,飞天狮,白虎大帝,玄武大帝,勾陈,玉麒麟,双头魔龙,雷霄巨蝎,七彩兽,黄金宝马,穷奇",【神】七彩兽#4|【神】飞天狮#5|【神】双头魔龙#5|【神】金甲象#40|【神】寒霜巨龙#40|【神】天马#50|【神】狻猊#50|【神】玉麒麟#70|【神】鬼狮鹰#70|【神】九尾冰狐#70|【神】勾陈#70|【神】三头狼#76|【神】谛听#90|【神】玄武大帝#90|【神】青龙大帝#90|【神】黄金宝马#90|【神】白虎大帝#90,0,
37,青龙大帝,"鬼狮鹰,天马,赤烟驹,青鸾,鲲鹏,咕噜神象,嗜血飞龙,寒霜巨龙,上古火龙,青龙大帝,金甲象,飞天狮,白虎大帝,玄武大帝,勾陈,玉麒麟,双头魔龙,雷霄巨蝎,七彩兽,黄金宝马,穷奇",【神】七彩兽#4|【神】飞天狮#5|【神】双头魔龙#5|【神】金甲象#40|【神】寒霜巨龙#40|【神】天马#50|【神】狻猊#50|【神】玉麒麟#70|【神】鬼狮鹰#70|【神】九尾冰狐#70|【神】勾陈#70|【神】三头狼#76|【神】谛听#90|【神】玄武大帝#90|【神】青龙大帝#90|【神】黄金宝马#90|【神】白虎大帝#90,1,【神】青龙大帝
38,金甲象,"鬼狮鹰,天马,赤烟驹,青鸾,鲲鹏,咕噜神象,嗜血飞龙,寒霜巨龙,上古火龙,青龙大帝,金甲象,飞天狮,白虎大帝,玄武大帝,勾陈,玉麒麟,双头魔龙,雷霄巨蝎,七彩兽,黄金宝马,穷奇",【神】七彩兽#4|【神】飞天狮#5|【神】双头魔龙#5|【神】金甲象#40|【神】寒霜巨龙#40|【神】天马#50|【神】狻猊#50|【神】玉麒麟#70|【神】鬼狮鹰#70|【神】九尾冰狐#70|【神】勾陈#70|【神】三头狼#76|【神】谛听#90|【神】玄武大帝#90|【神】青龙大帝#90|【神】黄金宝马#90|【神】白虎大帝#90,1,【神】金甲象
39,飞天狮,"鬼狮鹰,天马,赤烟驹,青鸾,鲲鹏,咕噜神象,嗜血飞龙,寒霜巨龙,上古火龙,青龙大帝,金甲象,飞天狮,白虎大帝,玄武大帝,勾陈,玉麒麟,双头魔龙,雷霄巨蝎,七彩兽,黄金宝马,穷奇",【神】七彩兽#4|【神】飞天狮#5|【神】双头魔龙#5|【神】金甲象#40|【神】寒霜巨龙#40|【神】天马#50|【神】狻猊#50|【神】玉麒麟#70|【神】鬼狮鹰#70|【神】九尾冰狐#70|【神】勾陈#70|【神】三头狼#76|【神】谛听#90|【神】玄武大帝#90|【神】青龙大帝#90|【神】黄金宝马#90|【神】白虎大帝#90,1,【神】飞天狮
40,白虎大帝,"鬼狮鹰,天马,赤烟驹,青鸾,鲲鹏,咕噜神象,嗜血飞龙,寒霜巨龙,上古火龙,青龙大帝,金甲象,飞天狮,白虎大帝,玄武大帝,勾陈,玉麒麟,双头魔龙,雷霄巨蝎,七彩兽,黄金宝马,穷奇",【神】七彩兽#4|【神】飞天狮#5|【神】双头魔龙#5|【神】金甲象#40|【神】寒霜巨龙#40|【神】天马#50|【神】狻猊#50|【神】玉麒麟#70|【神】鬼狮鹰#70|【神】九尾冰狐#70|【神】勾陈#70|【神】三头狼#76|【神】谛听#90|【神】玄武大帝#90|【神】青龙大帝#90|【神】黄金宝马#90|【神】白虎大帝#90,1,【神】白虎大帝
41,玄武大帝,"鬼狮鹰,天马,赤烟驹,青鸾,鲲鹏,咕噜神象,嗜血飞龙,寒霜巨龙,上古火龙,青龙大帝,金甲象,飞天狮,白虎大帝,玄武大帝,勾陈,玉麒麟,双头魔龙,雷霄巨蝎,七彩兽,黄金宝马,穷奇",【神】七彩兽#4|【神】飞天狮#5|【神】双头魔龙#5|【神】金甲象#40|【神】寒霜巨龙#40|【神】天马#50|【神】狻猊#50|【神】玉麒麟#70|【神】鬼狮鹰#70|【神】九尾冰狐#70|【神】勾陈#70|【神】三头狼#76|【神】谛听#90|【神】玄武大帝#90|【神】青龙大帝#90|【神】黄金宝马#90|【神】白虎大帝#90,1,【神】玄武大帝
42,勾陈,"鬼狮鹰,天马,赤烟驹,青鸾,鲲鹏,咕噜神象,嗜血飞龙,寒霜巨龙,上古火龙,青龙大帝,金甲象,飞天狮,白虎大帝,玄武大帝,勾陈,玉麒麟,双头魔龙,雷霄巨蝎,七彩兽,黄金宝马,穷奇",【神】七彩兽#4|【神】飞天狮#5|【神】双头魔龙#5|【神】金甲象#40|【神】寒霜巨龙#40|【神】天马#50|【神】狻猊#50|【神】玉麒麟#70|【神】鬼狮鹰#70|【神】九尾冰狐#70|【神】勾陈#70|【神】三头狼#76|【神】谛听#90|【神】玄武大帝#90|【神】青龙大帝#90|【神】黄金宝马#90|【神】白虎大帝#90,1,【神】勾陈
43,玉麒麟,"鬼狮鹰,天马,赤烟驹,青鸾,鲲鹏,咕噜神象,嗜血飞龙,寒霜巨龙,上古火龙,青龙大帝,金甲象,飞天狮,白虎大帝,玄武大帝,勾陈,玉麒麟,双头魔龙,雷霄巨蝎,七彩兽,黄金宝马,穷奇",【神】七彩兽#4|【神】飞天狮#5|【神】双头魔龙#5|【神】金甲象#40|【神】寒霜巨龙#40|【神】天马#50|【神】狻猊#50|【神】玉麒麟#70|【神】鬼狮鹰#70|【神】九尾冰狐#70|【神】勾陈#70|【神】三头狼#76|【神】谛听#90|【神】玄武大帝#90|【神】青龙大帝#90|【神】黄金宝马#90|【神】白虎大帝#90,1,【神】玉麒麟
44,双头魔龙,"鬼狮鹰,天马,赤烟驹,青鸾,鲲鹏,咕噜神象,嗜血飞龙,寒霜巨龙,上古火龙,青龙大帝,金甲象,飞天狮,白虎大帝,玄武大帝,勾陈,玉麒麟,双头魔龙,雷霄巨蝎,七彩兽,黄金宝马,穷奇",【神】七彩兽#4|【神】飞天狮#5|【神】双头魔龙#5|【神】金甲象#40|【神】寒霜巨龙#40|【神】天马#50|【神】狻猊#50|【神】玉麒麟#70|【神】鬼狮鹰#70|【神】九尾冰狐#70|【神】勾陈#70|【神】三头狼#76|【神】谛听#90|【神】玄武大帝#90|【神】青龙大帝#90|【神】黄金宝马#90|【神】白虎大帝#90,1,【神】双头魔龙
45,雷霄巨蝎,"鬼狮鹰,天马,赤烟驹,青鸾,鲲鹏,咕噜神象,嗜血飞龙,寒霜巨龙,上古火龙,青龙大帝,金甲象,飞天狮,白虎大帝,玄武大帝,勾陈,玉麒麟,双头魔龙,雷霄巨蝎,七彩兽,黄金宝马,穷奇",【神】七彩兽#4|【神】飞天狮#5|【神】双头魔龙#5|【神】金甲象#40|【神】寒霜巨龙#40|【神】天马#50|【神】狻猊#50|【神】玉麒麟#70|【神】鬼狮鹰#70|【神】九尾冰狐#70|【神】勾陈#70|【神】三头狼#76|【神】谛听#90|【神】玄武大帝#90|【神】青龙大帝#90|【神】黄金宝马#90|【神】白虎大帝#90,0,
46,七彩兽,"鬼狮鹰,天马,赤烟驹,青鸾,鲲鹏,咕噜神象,嗜血飞龙,寒霜巨龙,上古火龙,青龙大帝,金甲象,飞天狮,白虎大帝,玄武大帝,勾陈,玉麒麟,双头魔龙,雷霄巨蝎,七彩兽,黄金宝马,穷奇",【神】七彩兽#4|【神】飞天狮#5|【神】双头魔龙#5|【神】金甲象#40|【神】寒霜巨龙#40|【神】天马#50|【神】狻猊#50|【神】玉麒麟#70|【神】鬼狮鹰#70|【神】九尾冰狐#70|【神】勾陈#70|【神】三头狼#76|【神】谛听#90|【神】玄武大帝#90|【神】青龙大帝#90|【神】黄金宝马#90|【神】白虎大帝#90,1,【神】七彩兽
47,黄金宝马,"鬼狮鹰,天马,赤烟驹,青鸾,鲲鹏,咕噜神象,嗜血飞龙,寒霜巨龙,上古火龙,青龙大帝,金甲象,飞天狮,白虎大帝,玄武大帝,勾陈,玉麒麟,双头魔龙,雷霄巨蝎,七彩兽,黄金宝马,穷奇",【神】七彩兽#4|【神】飞天狮#5|【神】双头魔龙#5|【神】金甲象#40|【神】寒霜巨龙#40|【神】天马#50|【神】狻猊#50|【神】玉麒麟#70|【神】鬼狮鹰#70|【神】九尾冰狐#70|【神】勾陈#70|【神】三头狼#76|【神】谛听#90|【神】玄武大帝#90|【神】青龙大帝#90|【神】黄金宝马#90|【神】白虎大帝#90,1,【神】黄金宝马
48,穷奇,"鬼狮鹰,天马,赤烟驹,青鸾,鲲鹏,咕噜神象,嗜血飞龙,寒霜巨龙,上古火龙,青龙大帝,金甲象,飞天狮,白虎大帝,玄武大帝,勾陈,玉麒麟,双头魔龙,雷霄巨蝎,七彩兽,黄金宝马,穷奇",【神】七彩兽#4|【神】飞天狮#5|【神】双头魔龙#5|【神】金甲象#40|【神】寒霜巨龙#40|【神】天马#50|【神】狻猊#50|【神】玉麒麟#70|【神】鬼狮鹰#70|【神】九尾冰狐#70|【神】勾陈#70|【神】三头狼#76|【神】谛听#90|【神】玄武大帝#90|【神】青龙大帝#90|【神】黄金宝马#90|【神】白虎大帝#90,0,
