///key,,,,
///Filter,,,,
//;图鉴序号,1,2,3,4
IDX,索引数据,回收物品,回收数量,装备名字
153,50213,绿晶矿,6,强化烈焰魔戒
154,50214,绿晶矿,6,强化烈焰腰带
155,50215,绿晶矿,6,强化烈焰魔靴
156,50211,绿晶矿,12,强化烈焰勋章
157,50216,绿晶矿,6,强化光芒盔
158,50217,绿晶矿,6,强化光芒项链
159,50219,绿晶矿,6,强化光芒护腕
160,50220,绿晶矿,6,强化光芒道戒
161,50221,绿晶矿,6,强化光芒腰带
162,50222,绿晶矿,6,强化光芒道靴
163,50218,绿晶矿,12,强化光芒勋章
164,50412,女娲石,1,祈祷头盔
165,50413,女娲石,1,祈祷项链
166,50414,女娲石,1,祈祷手镯
167,50415,女娲石,1,祈祷戒指
168,50416,女娲石,1,祈祷腰带
169,50417,女娲石,1,祈祷靴子
170,50419,女娲石,1,祈祷之刃
171,50418,女娲石,2,祈祷勋章
172,50420,女娲石,1,铜域头盔
173,50421,女娲石,1,铜域项链
174,50422,女娲石,1,铜域手镯
175,50423,女娲石,1,铜域戒指
176,50424,女娲石,1,铜域腰带
177,50425,女娲石,1,铜域靴子
178,50426,女娲石,2,铜域勋章
179,50427,女娲石,1,木域头盔
180,50428,女娲石,1,木域项链
181,50429,女娲石,1,木域手镯
182,50430,女娲石,1,木域戒指
183,50431,女娲石,1,木域腰带
184,50432,女娲石,1,木域靴子
185,50433,女娲石,1,土域头盔
186,50434,女娲石,1,土域项链
187,50435,女娲石,1,土域手镯
188,50436,女娲石,1,土域戒指
189,50437,女娲石,1,土域腰带
190,50438,女娲石,1,土域靴子
191,50439,女娲石,1,金域头盔
192,50440,女娲石,1,金域项链
193,50441,女娲石,1,金域手镯
194,50442,女娲石,1,金域戒指
195,50443,女娲石,1,金域腰带
196,50444,女娲石,1,金域靴子
197,50445,女娲石,1,金域怒斩
198,50446,女娲石,1,火域头盔
199,50447,女娲石,1,火域项链
200,50448,女娲石,1,火域手镯
201,50449,女娲石,1,火域戒指
202,50450,女娲石,1,火域腰带
203,50451,女娲石,1,火域靴子
204,50452,女娲石,1,水域项链
205,50453,女娲石,1,水域手镯
206,50454,女娲石,1,水域戒指
207,50455,女娲石,1,风域项链
208,50456,女娲石,1,风域手镯
209,50457,女娲石,1,风域戒指
210,50461,女娲石,1,藤域头盔
211,50462,女娲石,1,藤域项链
212,50463,女娲石,1,藤域手镯
213,50464,女娲石,1,藤域戒指
214,50465,女娲石,1,藤域腰带
215,50466,女娲石,1,藤域靴子
216,50468,女娲石,1,鬼域头盔
217,50469,女娲石,1,鬼域项链
218,50470,女娲石,1,鬼域手镯
219,50471,女娲石,1,鬼域戒指
220,50472,女娲石,1,鬼域腰带
221,50473,女娲石,1,鬼域靴子
222,50474,女娲石,1,神域头盔
223,50475,女娲石,1,神域项链
224,50476,女娲石,1,神域手镯
225,50477,女娲石,1,神域戒指
226,50478,女娲石,1,神域腰带
227,50479,女娲石,1,神域靴子
228,50458,女娲石,4,雷域项链
229,50459,女娲石,4,雷域手镯
230,50460,女娲石,4,雷域戒指
231,50537,女娲石,2,雷霆战甲(男)
232,50538,女娲石,2,雷霆战甲(女)
233,50539,女娲石,2,烈焰魔衣(男)
234,50540,女娲石,2,烈焰魔衣(女)
235,50541,女娲石,2,光芒道袍(男)
236,50542,女娲石,2,光芒道袍(女)
237,50543,女娲石,3,白虎战甲(男)
238,50544,女娲石,3,白虎战甲(女)
239,50545,女娲石,3,朱雀魔袍(男)
240,50546,女娲石,3,朱雀魔袍(女)
241,50547,女娲石,3,青龙道袍(男)
242,50548,女娲石,3,青龙道袍(女)
243,50549,女娲石,4,凤凰魔甲
244,50550,女娲石,4,凤凰魔衣
245,50609,女娲石,4,赤金逍遥扇
246,50445,女娲石,1,金域怒斩
247,50612,女娲石,2,黄金鬼炎
248,50613,女娲石,4,天之开天
249,50610,绿晶矿,4,天之裁决
250,50580,绿晶矿,6,海边月
251,50581,绿晶矿,6,上古屠龙
252,50582,绿晶矿,6,光之权杖
253,50583,绿晶矿,6,审判之刃
254,50584,绿晶矿,5,鬼炎
255,50585,绿晶矿,6,干将
256,50604,绿晶矿,4,赤血魔剑
257,50605,绿晶矿,4,天之骨玉权杖
258,50606,绿晶矿,6,紫金嗜魂法杖
259,50607,绿晶矿,4,天之龙纹剑
260,50608,绿晶矿,4,黄金龙纹剑
261,50610,绿晶矿,4,天之裁决
262,50766,绿晶矿,4,黄金裁决
263,50611,绿晶矿,6,黄金屠龙
264,50586,女娲石,2,玄天
265,50587,女娲石,2,霸者之刃
266,50588,女娲石,2,开天
267,50589,女娲石,2,镇天
268,50590,女娲石,2,上古龙牙
269,50591,女娲石,3,凤凰法杖
270,50592,女娲石,3,莫邪
271,50593,女娲石,3,昆仑扇
272,50594,女娲石,3,百辟刀
273,50595,女娲石,4,无极剑
274,50596,女娲石,4,死神之吻
275,50597,女娲石,4,祈祷魔刃
276,50598,女娲石,4,上古鬼炎
277,50467,女娲石,4,藤域法杖
278,50772,绿晶矿,6,浮幽戒指
279,50635,绿晶矿,1,血煞头盔
280,50636,绿晶矿,2,荆棘手镯
281,50639,绿晶矿,1,蓝魔之泪
282,50640,绿晶矿,7,蓝魔项链【凡】
283,50641,绿晶矿,7,蓝魔项链【圣】
284,50642,绿晶矿,7,蓝魔项链【皇】
285,50643,绿晶矿,7,蓝魔项链【帝】
286,50644,女娲石,1,蓝魔项链【神】
287,50645,绿晶矿,7,蓝魔项链【暗】
288,50646,绿晶矿,7,蓝魔项链【妖】
289,50647,女娲石,1,蓝魔项链【魔】
290,50648,女娲石,2,蓝魔项链【仙】
291,50527,绿晶矿,6,宙斯手镯
292,50528,绿晶矿,6,宙斯之戒
293,50551,天命神石,1,战神金甲(男)
294,50552,天命神石,1,战神金甲(女)
295,50553,天命神石,1,魔神披风(男)
296,50554,天命神石,1,魔神披风(女)
297,50555,天命神石,1,道神玄袍(男)
298,50556,天命神石,1,道神玄袍(女)
299,50557,天命神石,1,骑士战甲(男)
300,50558,天命神石,1,骑士战甲(女)
301,50559,天命神石,2,三魂浩瀚甲(男)
302,50560,天命神石,2,三魂浩瀚衣(女)
303,50561,天命神石,3,天玑明王战甲(男)
304,50562,天命神石,3,天玑明王战甲(女)
305,50563,天命神石,3,天权烈焰法袍(男)
306,50564,天命神石,3,天权烈焰法袍(女)
307,50565,天命神石,3,天枢幻灭道衣(男)
308,50566,天命神石,3,天枢幻灭道衣(女)
309,50567,天命神石,4,虎皇霸天铠(男)
310,50568,天命神石,4,虎皇霸天铠(女)
311,50569,天命神石,4,虎皇狱火袍(男)
312,50570,天命神石,4,虎皇狱火袍(女)
313,50571,天命神石,4,虎皇末世衣(男)
314,50572,天命神石,4,虎皇末世衣(女)
315,50573,天命神石,5,上古·苍龙甲(男)
316,50574,天命神石,5,上古·苍龙甲(女)
317,50575,天命神石,5,上古·火龙袍(男)
318,50576,天命神石,5,上古·火龙袍(女)
319,50577,天命神石,5,上古·圣龙衣(男)
320,50578,天命神石,5,上古·圣龙衣(女)
321,50599,天命神石,1,太乙扇
322,50600,天命神石,1,海神戟
323,50601,天命神石,1,暗月
324,50602,天命神石,1,梦幻之刃
325,50603,天命神石,2,雷楔
326,50624,天命神石,2,嗜血剑
327,50634,女娲石,3,龙神权杖
328,50637,女娲石,1,后羿之手
329,50638,女娲石,1,碧血链
330,50649,女娲石,1,霸主手套
331,50650,女娲石,1,玛雅头盔
332,50651,女娲石,1,月光镯
333,50652,女娲石,1,亡灵吊坠
334,50653,女娲石,2,传承头盔
335,50655,女娲石,2,扶摇项链
336,50656,女娲石,3,锋芒头盔
337,50657,女娲石,3,将军头盔
338,50658,女娲石,3,麒麟臂
339,50659,女娲石,3,金戈头盔
340,50660,女娲石,3,铁马腰带
341,50661,女娲石,3,混沌项链
342,50654,女娲石,2,诅咒之殇
343,50662,女娲石,4,避水珠
344,50663,女娲石,4,劈地靴
345,50664,女娲石,4,暗夜靴
346,50665,女娲石,4,兽灵靴
347,50666,女娲石,4,亡灵手套
348,50667,女娲石,4,白起护腕
349,50668,女娲石,4,英雄手镯
350,50669,女娲石,4,铁骑护腕
351,50670,女娲石,5,美杜莎护腕
352,50671,天命神石,2,熔岩之心
353,50672,天命神石,2,暗影之心
354,50673,天命神石,2,疾风靴
355,50674,天命神石,2,道法自然
356,50675,天命神石,2,诛仙头盔
357,50676,天命神石,2,金鸾护腕
358,50677,天命神石,2,百战手套
359,50687,女娲石,4,无畏甲
360,50688,女娲石,4,无畏衣
361,50690,女娲石,4,苍穹剑
362,50689,女娲石,4,通天镯
363,50691,天命神石,1,金鳞笠
364,50683,天命神石,2,持国天王魔戒
365,50684,天命神石,2,增长天王魔戒
366,50685,天命神石,2,广目天王魔戒
367,50686,天命神石,3,多闻天王魔戒
368,50529,女娲石,2,龍炎手镯
369,50530,女娲石,2,龍炎戒指
370,50480,女娲石,2,蝴蝶头盔
371,50481,女娲石,2,蝴蝶项链
372,50482,女娲石,2,蝴蝶手镯
373,50483,女娲石,2,蝴蝶戒指
374,50484,女娲石,2,蝴蝶腰带
375,50485,女娲石,2,蝴蝶靴子
376,50486,女娲石,4,千年虫盔
377,50487,女娲石,4,千年虫链
378,50488,女娲石,4,千年虫镯
379,50489,女娲石,4,千年虫指
380,50490,女娲石,4,千年虫带
381,50491,女娲石,4,千年虫靴
382,50492,天命神石,2,冰龙头盔
383,50493,天命神石,2,冰龙项链
384,50494,天命神石,2,冰龙手镯
385,50495,天命神石,2,冰龙戒指
386,50496,天命神石,2,冰龙腰带
387,50497,天命神石,2,冰龙靴子
388,50498,天命神石,2,静寂项链
389,50499,天命神石,2,静寂手镯
390,50500,天命神石,2,静寂戒指
391,50501,天命神石,2,静寂腰带
392,50502,天命神石,2,静寂之靴
393,50503,天命神石,4,静寂勋章
394,50504,女娲石,4,神灵项链
395,50505,女娲石,4,神灵手镯
396,50506,女娲石,4,神灵戒指
397,50507,女娲石,4,神灵腰带
398,50508,女娲石,4,神灵靴子
399,50509,天命神石,1,凤凰项链
400,50510,天命神石,1,凤凰手镯
401,50511,天命神石,1,凤凰戒指
402,50512,女娲石,3,蚩尤护腕
403,50513,女娲石,3,蚩尤腰带
404,50514,女娲石,3,蚩尤靴子
405,50515,女娲石,4,星落摇光盔
406,50516,女娲石,4,星落摇光链
407,50517,女娲石,4,星落摇光镯
408,50518,女娲石,4,星落摇光戒
409,50519,女娲石,4,星落摇光靴
410,50520,女娲石,4,乱世君临头盔
411,50521,女娲石,4,乱世君临项链
412,50522,女娲石,4,乱世君临手镯
413,50523,女娲石,4,乱世君临戒指
414,50524,女娲石,4,乱世君临腰带
415,50525,女娲石,4,乱世君临靴子
416,50526,女娲石,8,乱世君临勋章
417,50238,女娲石,1,白虎头盔
418,50239,女娲石,1,白虎项链
419,50240,女娲石,1,白虎手镯
420,50241,女娲石,1,白虎战戒
421,50242,女娲石,1,白虎腰带
422,50243,女娲石,1,白虎战靴
423,50244,女娲石,2,白虎勋章
424,50245,女娲石,1,朱雀头盔
425,50246,女娲石,1,朱雀项链
426,50247,女娲石,1,朱雀手镯
427,50248,女娲石,1,朱雀法戒
428,50249,女娲石,1,朱雀腰带
429,50250,女娲石,1,朱雀法靴
430,50251,女娲石,2,朱雀勋章
431,50252,女娲石,1,青龙头盔
432,50253,女娲石,1,青龙项链
433,50254,女娲石,1,青龙手镯
434,50255,女娲石,1,青龙道戒
435,50256,女娲石,1,青龙腰带
436,50257,女娲石,1,青龙道靴
437,50258,女娲石,2,青龙勋章
438,50259,女娲石,2,梵天头盔
439,50260,女娲石,2,梵天项链
440,50261,女娲石,2,梵天手镯
441,50262,女娲石,2,梵天戒指
442,50263,女娲石,2,梵天腰带
443,50264,女娲石,2,梵天靴子
444,50265,女娲石,4,梵天勋章
445,50266,女娲石,2,帝释头盔
446,50267,女娲石,2,帝释项链
447,50268,女娲石,2,帝释手镯
448,50269,女娲石,2,帝释戒指
449,50270,女娲石,2,帝释腰带
450,50271,女娲石,2,帝释靴子
451,50272,女娲石,4,帝释勋章
452,50273,女娲石,2,天罡头盔
453,50274,女娲石,2,天罡项链
454,50275,女娲石,2,天罡手镯
455,50276,女娲石,2,天罡戒指
456,50277,女娲石,2,天罡腰带
457,50278,女娲石,2,天罡靴子
458,50279,女娲石,4,天罡勋章
459,50280,女娲石,4,战神头盔
460,50281,女娲石,4,战神之链
461,50282,女娲石,4,战神之镯
462,50283,女娲石,4,战神之戒
463,50284,女娲石,4,战神腰带
464,50285,女娲石,4,战神之靴
465,50286,女娲石,8,战神凭证
466,50287,女娲石,4,魔神头盔
467,50288,女娲石,4,魔神项链
468,50289,女娲石,4,魔神手镯
469,50290,女娲石,4,魔神戒指
470,50291,女娲石,4,魔神腰带
471,50292,女娲石,4,魔神靴子
472,50293,女娲石,8,魔神凭证
473,50294,女娲石,4,道神头盔
474,50295,女娲石,4,道神项链
475,50296,女娲石,4,道神手镯
476,50297,女娲石,4,道神戒指
477,50298,女娲石,4,道神腰带
478,50299,女娲石,4,道神靴子
479,50300,女娲石,8,道神凭证
480,50301,天命神石,1,战魂烈日盔
481,50302,天命神石,1,战魂烈日链
482,50303,天命神石,1,战魂烈日镯
483,50304,天命神石,1,战魂烈日戒
484,50305,天命神石,1,战魂烈日带
485,50306,天命神石,1,战魂烈日靴
486,50307,天命神石,2,战魂烈日章
487,50308,天命神石,1,法魂幻月盔
488,50309,天命神石,1,法魂幻月链
489,50310,天命神石,1,法魂幻月镯
490,50311,天命神石,1,法魂幻月戒
491,50312,天命神石,1,法魂幻月带
492,50313,天命神石,1,法魂幻月靴
493,50314,天命神石,2,法魂幻月章
494,50315,天命神石,1,道魂星辰盔
495,50316,天命神石,1,道魂星辰链
496,50317,天命神石,1,道魂星辰镯
497,50318,天命神石,1,道魂星辰戒
498,50319,天命神石,1,道魂星辰带
499,50320,天命神石,1,道魂星辰靴
500,50321,天命神石,2,道魂星辰章
501,50322,天命神石,2,霸王破天盔
502,50323,天命神石,2,霸王破天链
503,50324,天命神石,2,霸王破天镯
504,50325,天命神石,2,霸王破天戒
505,50326,天命神石,2,霸王破天带
506,50327,天命神石,2,霸王破天靴
507,50328,天命神石,4,霸王破天章
508,50329,天命神石,2,烽火连城盔
509,50330,天命神石,2,烽火连城链
510,50331,天命神石,2,烽火连城镯
511,50332,天命神石,2,烽火连城戒
512,50333,天命神石,2,烽火连城带
513,50334,天命神石,2,烽火连城靴
514,50335,天命神石,4,烽火连城章
515,50336,天命神石,2,君临天下盔
516,50337,天命神石,2,君临天下链
517,50338,天命神石,2,君临天下镯
518,50339,天命神石,2,君临天下戒
519,50340,天命神石,2,君临天下带
520,50341,天命神石,2,君临天下靴
521,50342,天命神石,4,君临天下章
522,50343,天命神石,3,虎皇霸天盔
523,50344,天命神石,3,虎皇霸天链
524,50345,天命神石,3,虎皇霸天镯
525,50346,天命神石,3,虎皇霸天戒
526,50347,天命神石,3,虎皇霸天带
527,50348,天命神石,3,虎皇霸天靴
528,50349,天命神石,6,虎皇霸天章
529,50350,天命神石,3,虎皇狱火盔
530,50351,天命神石,3,虎皇狱火链
531,50352,天命神石,3,虎皇狱火镯
532,50353,天命神石,3,虎皇狱火戒
533,50354,天命神石,3,虎皇狱火带
534,50355,天命神石,3,虎皇狱火靴
535,50356,天命神石,6,虎皇狱火章
536,50357,天命神石,3,虎皇末世盔
537,50358,天命神石,3,虎皇末世链
538,50359,天命神石,3,虎皇末世镯
539,50360,天命神石,3,虎皇末世戒
540,50361,天命神石,3,虎皇末世带
541,50362,天命神石,3,虎皇末世靴
542,50363,天命神石,6,虎皇末世章
543,50364,天命神石,4,上古∶苍龙逆火盔
544,50365,天命神石,4,上古∶苍龙逆火链
545,50366,天命神石,4,上古∶苍龙逆火镯
546,50367,天命神石,4,上古∶苍龙逆火戒
547,50368,天命神石,4,上古∶苍龙逆火带
548,50369,天命神石,4,上古∶苍龙逆火靴
549,50370,天命神石,8,上古∶苍龙逆火章
550,50371,天命神石,4,上古∶火龙焚天盔
551,50372,天命神石,4,上古∶火龙焚天链
552,50373,天命神石,4,上古∶火龙焚天镯
553,50374,天命神石,4,上古∶火龙焚天戒
554,50375,天命神石,4,上古∶火龙焚天带
555,50376,天命神石,4,上古∶火龙焚天靴
556,50377,天命神石,8,上古∶火龙焚天章
557,50378,天命神石,4,上古∶圣龙噬灵盔
558,50379,天命神石,4,上古∶圣龙噬灵链
559,50380,天命神石,4,上古∶圣龙噬灵镯
560,50381,天命神石,4,上古∶圣龙噬灵戒
561,50382,天命神石,4,上古∶圣龙噬灵带
562,50383,天命神石,4,上古∶圣龙噬灵靴
563,50384,天命神石,8,上古∶圣龙噬灵章
564,50767,绿晶矿,2,黄沙百战盔
565,507140,天命神石,1,鬼狮鹰
566,507150,天命神石,10,天马
567,507160,天命神石,10,赤烟驹
568,507170,天命神石,10,青鸾
569,507180,天命神石,10,鲲鹏
570,507190,天命神石,10,咕噜神象
571,507200,天命神石,10,嗜血飞龙
572,507210,天命神石,10,寒霜巨龙
573,507220,天命神石,10,上古火龙
574,507230,天命神石,10,青龙大帝
575,507240,天命神石,10,金甲象
576,507250,天命神石,10,飞天狮
577,507260,天命神石,10,白虎大帝
578,507270,天命神石,10,玄武大帝
579,507280,天命神石,10,勾陈
580,507290,天命神石,10,玉麒麟
581,507300,天命神石,10,双头魔龙
582,507310,天命神石,10,雷霄巨蝎
583,507320,天命神石,10,七彩兽
584,507800,天命神石,10,黄金宝马
585,507810,天命神石,10,穷奇
586,50768,绿晶矿,4,血饮
587,50579,绿晶矿,4,落魄神兵
588,50088,金币,4,木剑
589,50076,金币,4,布衣(男)
590,50077,金币,4,布衣(女)
591,50096,金币,48,匕首
592,50089,金币,440,乌木剑
593,50092,金币,16,青铜剑
594,50090,金币,132,铁剑
595,50093,金币,108,短剑
596,50095,金币,164,青铜斧
597,50104,金币,548,八荒
598,50098,金币,328,海魂
599,50105,金币,440,半月
600,50101,金币,548,凌风
601,50102,金币,548,破魂
602,50103,金币,660,斩马刀
603,50099,金币,1100,修罗
604,50106,金币,1100,偃月
605,50107,金币,1100,降魔
606,50094,金币,880,凝霜
607,50100,金币,1648,炼狱
608,50097,金币,1648,银蛇
609,50027,金币,108,青铜头盔
610,50040,金币,48,古铜戒指
611,50046,金币,88,六角戒指
612,50043,金币,88,玻璃戒指
613,50062,金币,48,金项链
614,50044,金币,108,牛角戒指
615,50037,金币,88,青铜镯
616,50045,金币,164,蓝色水晶戒指
617,50063,金币,132,黑檀项链
618,50064,金币,132,黄色水晶项链
619,50065,金币,164,黑色水晶项链
620,50028,金币,220,魔法头盔
621,50032,金币,164,皮制手套
622,50033,金币,768,坚固手套
623,50034,金币,220,钢手镯
624,50047,金币,328,生铁戒指
625,50048,金币,880,金戒指
626,50049,金币,440,魅力戒指
627,50050,金币,440,道德戒指
628,50068,金币,220,白金项链
629,50051,金币,1100,降妖除魔戒指
630,50069,金币,108,传统项链
631,50058,金币,768,金手镯
632,50052,金币,220,黑色水晶戒指
633,50070,金币,272,魔鬼项链
634,50053,金币,1648,珊瑚戒指
635,50071,金币,1100,蓝翡翠项链
636,50054,金币,220,蛇眼戒指
637,50072,金币,220,琥珀项链
638,50073,金币,660,放大镜
639,50055,金币,220,珍珠戒指
640,50074,金币,660,竹笛
641,50041,金币,548,死神戒指
642,50060,金币,440,黑檀手镯
643,50059,金币,440,道士手镯
644,50039,金币,880,死神手套
645,50042,金币,220,珍珠项链
646,50061,金币,880,魔力手镯
647,50029,金币,880,骷髅头盔
648,50030,金币,548,道士头盔
651,50078,金币,328,轻型盔甲(男)
652,50079,金币,328,轻型盔甲(女)
653,50080,金币,2640,中型盔甲(男)
654,50081,金币,660,中型盔甲(女)
655,50082,金币,1320,重盔甲(男)
656,50083,金币,1320,重盔甲(女)
657,50084,金币,1100,魔法长袍(男)
658,50085,金币,1100,魔法长袍(女)
659,50086,金币,1100,灵魂战衣(男)
660,50087,金币,1100,灵魂战衣(女)
661,50075,金币,220,凤凰明珠
662,50108,金币,3000,罗刹
663,50035,金币,1100,躲避手链
664,50057,金币,440,魔法手镯
665,50773,女娲石,1,藤域勋章
666,50763,绿晶矿,8,浮幽戒指【1阶】
667,50764,绿晶矿,10,浮幽戒指【2阶】
668,50066,金币,54,灯笼项链
669,50067,金币,174,白色虎齿项链
670,10434,金币,5000,1级玉胚
671,10435,金币,10000,2级玉胚
672,10436,金币,20000,3级玉胚
673,50801,女娲石,3,紫铜斧
674,50802,女娲石,3,青龙刺
675,50803,女娲石,3,统御之剑
676,50804,女娲石,3,屠戮之刃
677,50805,女娲石,3,汲魂杖
678,50806,女娲石,4,七星法杖
679,50807,女娲石,3,万兽尊甲
680,50808,女娲石,3,万兽尊袍
681,50813,女娲石,4,清灵甲
682,50814,女娲石,4,清灵衣
