///key,,,,,,,,,,,,,,,,,,,,,
///Filter,,,,,,,,,,,,,,,,,,,,,
//;图鉴序号,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
勋章排序,勋章分类,勋章子类,副材料数,所需声望,成功几率,所需材料1,所需材料2,所需材料3,所需材料4,所需材料5,所需材料6,所需材料7,勋章展示IDX,材料1IDX,材料2IDX,材料3IDX,材料4IDX,材料5IDX,材料6IDX,材料7IDX,成功率增加
30,,乱世君临勋章,6,1000,33,乱世君临头盔,乱世君临项链,乱世君临手镯,乱世君临戒指,乱世君临腰带,乱世君临靴子,,50526,50520,50521,50522,50523,50524,50525,,8
31,上古T1级勋章,上古T1级勋章,,,,,,,,,,,,,,,,,,,
32,,白虎勋章,6,1000,33,白虎头盔,白虎项链,白虎手镯,白虎战戒,白虎腰带,白虎战靴,,50244,50238,50239,50240,50241,50242,50243,,10
33,,朱雀勋章,6,1000,33,朱雀头盔,朱雀项链,朱雀手镯,朱雀法戒,朱雀腰带,朱雀法靴,,50251,50245,50246,50247,50248,50249,50250,,10
34,,青龙勋章,6,1000,33,青龙头盔,青龙项链,青龙手镯,青龙道戒,青龙腰带,青龙道靴,,50258,50252,50253,50254,50255,50256,50257,,10
35,上古T2级勋章,上古T2级勋章,,,,,,,,,,,,,,,,,,,
36,,梵天勋章,6,2000,33,梵天头盔,梵天项链,梵天手镯,梵天戒指,梵天腰带,梵天靴子,,50265,50259,50260,50261,50262,50263,50264,,15
37,,帝释勋章,6,2000,33,帝释头盔,帝释项链,帝释手镯,帝释戒指,帝释腰带,帝释靴子,,50272,50266,50267,50268,50269,50270,50271,,15
38,,天罡勋章,6,2000,33,天罡头盔,天罡项链,天罡手镯,天罡戒指,天罡腰带,天罡靴子,,50279,50273,50274,50275,50276,50277,50278,,15
39,上古T3级勋章,上古T3级勋章,,,,,,,,,,,,,,,,,,,
40,,战神凭证,6,3000,33,战神头盔,战神之链,战神之镯,战神之戒,战神腰带,战神之靴,,50286,50280,50281,50282,50283,50284,50285,,20
41,,魔神凭证,6,3000,33,魔神头盔,魔神项链,魔神手镯,魔神戒指,魔神腰带,魔神靴子,,50293,50287,50288,50289,50290,50291,50292,,20
42,,道神凭证,6,3000,33,道神头盔,道神项链,道神手镯,道神戒指,道神腰带,道神靴子,,50300,50294,50295,50296,50297,50298,50299,,20
43,上古T4级勋章,上古T4级勋章,,,,,,,,,,,,,,,,,,,
44,,战魂烈日章,6,4000,33,战魂烈日盔,战魂烈日链,战魂烈日镯,战魂烈日戒,战魂烈日带,战魂烈日靴,,50307,50301,50302,50303,50304,50305,50306,,25
45,,法魂幻月章,6,4000,33,法魂幻月盔,法魂幻月链,法魂幻月镯,法魂幻月戒,法魂幻月带,法魂幻月靴,,50314,50308,50309,50310,50311,50312,50313,,25
46,,道魂星辰章,6,4000,33,道魂星辰盔,道魂星辰链,道魂星辰镯,道魂星辰戒,道魂星辰带,道魂星辰靴,,50321,50315,50316,50317,50318,50319,50320,,25
47,上古T5级勋章,上古T5级勋章,,,,,,,,,,,,,,,,,,,
48,,天玑明王章,6,5000,33,天玑明王盔,天玑明王链,天玑明王镯,天玑明王戒,天玑明王带,天玑明王靴,,50328,50322,50323,50324,50325,50326,50327,,30
49,,天权烈焰章,6,5000,33,天权烈焰盔,天权烈焰链,天权烈焰镯,天权烈焰戒,天权烈焰带,天权烈焰靴,,50335,50329,50330,50331,50332,50333,50334,,30
50,,天枢幻灭章,6,5000,33,天枢幻灭盔,天枢幻灭链,天枢幻灭镯,天枢幻灭戒,天枢幻灭带,天枢幻灭靴,,50342,50336,50337,50338,50339,50340,50341,,30
51,上古T6级勋章,上古T6级勋章,,,,,,,,,,,,,,,,,,,
52,,虎皇霸天章,6,6000,33,虎皇霸天盔,虎皇霸天链,虎皇霸天镯,虎皇霸天戒,虎皇霸天带,虎皇霸天靴,,50349,50343,50344,50345,50346,50347,50348,,35
53,,虎皇狱火章,6,6000,33,虎皇狱火盔,虎皇狱火链,虎皇狱火镯,虎皇狱火戒,虎皇狱火带,虎皇狱火靴,,50356,50350,50351,50352,50353,50354,50355,,35
54,,虎皇末世章,6,6000,33,虎皇末世盔,虎皇末世链,虎皇末世镯,虎皇末世戒,虎皇末世带,虎皇末世靴,,50363,50357,50358,50359,50360,50361,50362,,35
55,上古T7级勋章,上古T7级勋章,,,,,,,,,,,,,,,,,,,
56,,上古∶苍龙逆火章,6,7000,33,上古∶苍龙逆火盔,上古∶苍龙逆火链,上古∶苍龙逆火镯,上古∶苍龙逆火戒,上古∶苍龙逆火带,上古∶苍龙逆火靴,,50370,50364,50365,50366,50367,50368,50369,,40
57,,上古∶火龙焚天章,6,7000,33,上古∶火龙焚天盔,上古∶火龙焚天链,上古∶火龙焚天镯,上古∶火龙焚天戒,上古∶火龙焚天带,上古∶火龙焚天靴,,50377,50371,50372,50373,50374,50375,50376,,40
58,,上古∶圣龙噬灵章,6,7000,33,上古∶圣龙噬灵盔,上古∶圣龙噬灵链,上古∶圣龙噬灵镯,上古∶圣龙噬灵戒,上古∶圣龙噬灵带,上古∶圣龙噬灵靴,,50384,50378,50379,50380,50381,50382,50383,,40
59,荣誉级,1,4,1级荣誉勋章,2级荣誉勋章,3级荣誉勋章,4级荣誉勋章,,,,,15,,,,,,,,,
60,圣战级,6,3,圣战勋章,法神勋章,天尊勋章,,,,,,35,,,,,,,,,
61,天之圣战级,10,3,天之圣战勋章,天之法神勋章,天之天尊勋章,,,,,,15,,,,,,,,,
62,魔龙级,14,3,雷霆勋章,烈焰勋章,光芒勋章,,,,,,35,,,,,,,,,
63,强化魔龙级,18,3,强化雷霆勋章,强化烈焰勋章,强化光芒勋章,,,,,,15,,,,,,,,,
64,特殊勋章,22,8,神秘勋章,虹魔勋章,魔血勋章,记忆勋章,祈祷勋章,铜域勋章,静寂勋章,乱世君临勋章,35,,,,,,,,,
65,上古T1级,31,3,白虎勋章,朱雀勋章,青龙勋章,,,,,,35,,,,,,,,,
66,上古T2级,35,3,梵天勋章,帝释勋章,天罡勋章,,,,,,35,,,,,,,,,
67,上古T3级,39,3,战神凭证,魔神凭证,道神凭证,,,,,,35,,,,,,,,,
68,上古T4级,43,3,战魂烈日章,法魂幻月章,道魂星辰章,,,,,,25,,,,,,,,,
69,上古T5级,47,3,天玑明王章,天权烈焰章,天枢幻灭章,,,,,,25,,,,,,,,,
70,上古T6级,51,3,虎皇霸天章,虎皇狱火章,虎皇末世章,,,,,,15,,,,,,,,,
71,上古T7级,55,3,上古∶苍龙逆火章,上古∶火龙焚天章,上古∶圣龙噬灵章,,,,,,15,,,,,,,,,
