///key,index,,,,
///FiltersCS,,,,,
///中文,技能,类型（职业|技能顺序|技能等级）,技能ID,属性,描述
///index,skill,type,skillID,attr,desc
96,冰咆哮,2|7|5,,259^1500|217^1,释放冰咆哮时有5%的概率对击中的所有目标释放寒冰掌，并将目标击退1格
97,冰咆哮,2|7|6,,259^2000|217^2,冰咆哮伤害+20%，施法速度+2
98,冰咆哮,2|7|7,,259^2000|217^2,使用冰咆哮时有10%几率冰冻目标2秒
99,治愈术,3|4|1,2,,每次释放治愈术，额外恢复自身1%的最大血量
100,治愈术,3|4|2,,,每次释放治愈术，额外恢复自身3%的最大血量
101,治愈术,3|4|3,,,人物血量低于50%每5秒自动释放一次治愈术
102,治愈术,3|4|4,,,每次释放治愈术，额外恢复自身5%的最大血量
103,治愈术,3|4|5,,,治愈术进化为群体治疗术
104,治愈术,3|4|6,,,每次释放治愈术，额外恢复自身7%的最大血量
105,治愈术,3|4|7,,,120秒内提升全体队员的20%生命上限
106,精神力战法,3|2|1,4,237^300|,道术+3%
107,精神力战法,3|2|2,,237^500|217^1,道术+5%，施法速度+1
108,精神力战法,3|2|3,,237^500|217^1,每5次攻击额外造成一次等值道术的重击伤害
109,精神力战法,3|2|4,,237^700|217^1,道术+7%
110,精神力战法,3|2|5,,236^700|216^1,宝宝攻速+10%，宝宝移速+10%
111,精神力战法,3|2|6,,236^1000|216^2,道术+10%，施法速度+2
112,精神力战法,3|2|7,,236^1000|216^2,宝宝攻速+20%，宝宝移速+20%
113,施毒术,3|3|1,6,251^500|,施毒术伤害增加5%
114,施毒术,3|3|2,,251^1000|217^1,施毒术伤害增加10%，施法速度+1
115,施毒术,3|3|3,,251^1000|217^1,施毒术对目标额度造成一次道术等值的附加伤害
116,施毒术,3|3|4,,251^1500|217^2,施毒术伤害增加15%
117,施毒术,3|3|5,,251^1500|217^2,施毒术进化为群体施毒术
118,施毒术,3|3|6,,251^1500|217^2,中毒者移速下降10%，施法速度+2
119,施毒术,3|3|7,,251^1500|217^2,施放群体施毒时，10%几率触发毒素爆炸，造成道术等值的3X3的范围伤害
120,灵魂火符,3|1|1,13,254^500|,火符伤害增加5%
121,灵魂火符,3|1|2,,254^1000|217^1,火符伤害增加10%，施法速度+1
122,灵魂火符,3|1|3,,254^1000|217^1,施放灵魂火符时，几率附带幽冥火符，造成3X3群体伤害
123,灵魂火符,3|1|4,,254^1500|217^1,火符伤害增加15%
124,灵魂火符,3|1|5,,254^1500|217^1,火符对目标造成伤害的同时会燃烧对方魔法值
125,灵魂火符,3|1|6,,254^2000|217^2,火符伤害+20%，施法速度+2
126,灵魂火符,3|1|7,,254^2000|217^2,火符进化为裂神符，对周围反复弹射造成伤害，最多可以弹射7次
127,神圣战甲术,3|5|1,15,,释放神圣战甲术时使自己周围3格内友军物理伤害减少5%，持续30秒
128,神圣战甲术,3|5|2,,,释放神圣战甲术时使自己周围3格内友军魔法伤害减少5%，持续30秒
129,神圣战甲术,3|5|3,,,释放神圣战甲术时使自己周围3格内友军攻击伤害增加5%，持续30秒
130,神圣战甲术,3|5|4,,,释放神圣战甲术时使自己周围3格内友军物理伤害减少7%，魔法伤害减少7%，持续30秒
131,神圣战甲术,3|5|5,,,向任意方向闪现5步，闪现完毕恢复自身10%血量，CD60秒
132,神圣战甲术,3|5|6,,,释放神圣战甲术时使自己周围3格内友军物理伤害减少10%、魔法伤害减少10%，持续30秒
133,神圣战甲术,3|5|7,,,领悟气功波，可将低于自身等级的目标狠狠弹开5格
134,隐身术,3|6|1,18,,隐身状态下角色移速+10%
135,隐身术,3|6|2,,217^1,施法速度+1
136,隐身术,3|6|3,,217^1,自己隐身现身后第1次伤害对目标造成1.5倍重击
137,隐身术,3|6|4,,217^1,隐身状态下角色移速+20%
138,隐身术,3|6|5,,217^1,隐身术进阶为群体隐身术
139,隐身术,3|6|6,,217^2,给队友或自己释放隐身术时，自己和对象的移速+25%，持续30秒，施法速度+2
140,隐身术,3|6|7,,217^2,给队友或自己释放隐身术时，自己和对象获得攻魔道+20，持续30秒
141,召唤神兽,3|7|1,76,,宝宝召唤数+1
142,召唤神兽,3|7|2,,,宝宝召唤数+1
143,召唤神兽,3|7|3,,,解锁强化神兽，将宝宝进阶为强化神兽
144,召唤神兽,3|7|4,,,宝宝召唤数+1
145,召唤神兽,3|7|5,,,解锁金甲麒麟，将宝宝进阶为金甲麒麟
146,召唤神兽,3|7|6,,,宝宝召唤数+1
147,召唤神兽,3|7|7,,,解锁月灵，将宝宝进阶为月灵
